ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8986652 0 4164 404512 8 20480 0 0 91682
9148711 0 4164 424640 0 1 0 0 -10062
9246726 0 4164 444771 0 28 0 0 -9927
9025179 0 4164 464898 0 103 0 0 -9555
8858077 0 4164 485028 0 225 0 0 -8949
9598581 0 4164 505158 0 395 0 0 -8104
9615591 0 4164 525284 0 611 0 0 -7031
8786134 0 4164 545414 0 875 0 0 -5719
10923734 0 4164 565541 0 1186 0 0 -4174
10860731 0 4164 585670 0 1544 0 0 -2396
8998249 0 4164 605802 16 1936 0 0 -92131
11332364 0 4164 625930 16 2329 0 0 11565
11074099 0 4164 646057 16 2722 0 0 13384
8903662 0 4164 666188 16 3115 0 0 14963
10382167 0 4164 686318 16 3508 0 0 16310
11585954 0 4164 706446 16 3901 0 0 17418
9444141 0 4164 726576 16 4294 0 0 18297
9416571 0 4164 746704 16 4688 0 0 18943
11669950 0 4164 766832 16 5081 0 0 19350
9568374 0 4164 786962 16 5474 0 0 19524
9055692 0 4164 807092 16 5867 0 0 19529
10794056 0 4164 827220 16 6260 0 0 19529
11754358 0 4164 847350 16 6653 0 0 19529
11974061 0 4164 867478 16 7046 0 0 19529
11883775 0 4164 887608 16 7440 0 0 19534
11568690 0 4164 907736 16 7833 0 0 19534
10727679 0 4164 927865 16 8226 0 0 19534
9265305 0 4164 947994 16 8619 0 0 19529
9741297 0 4164 968123 16 9012 0 0 19529
11774561 0 4164 988252 16 9405 0 0 19529
10299913 0 4165 8381 16 9799 0 0 19534
9021494 0 4165 28511 16 10192 0 0 19534
8606267 0 4165 48638 16 10585 0 0 19534
9030346 0 4165 68766 16 10978 0 0 19534
9448988 0 4165 88896 16 11371 0 0 19529
9387550 0 4165 109024 16 11764 0 0 19529
9453436 0 4165 129154 16 12157 0 0 19529
9594900 0 4165 149284 16 12551 0 0 19534
10218983 0 4165 169414 16 12944 0 0 19534
11073438 0 4165 189545 16 13337 0 0 19534
11668279 0 4165 209670 16 13730 0 0 19529
11927898 0 4165 229800 16 14123 0 0 19529
11980566 0 4165 249930 16 14516 0 0 19529
11875605 0 4165 270058 16 14909 0 0 19529
11545338 0 4165 290188 16 15303 0 0 19534
11062359 0 4165 310319 16 15696 0 0 19534
10441251 0 4165 330444 16 16089 0 0 19534
9815283 0 4165 350574 16 16482 0 0 19529
9265205 0 4165 370702 16 16875 0 0 19529
8775190 0 4165 390832 16 17268 0 0 19529
8567346 0 4165 410960 16 17661 0 0 19529
8687996 0 4165 431090 16 18055 0 0 19534
9045517 0 4165 451219 16 18448 0 0 19534
9567233 0 4165 471348 16 18841 0 0 19534
10173835 0 4165 491477 16 19234 0 0 19529
10640926 0 4165 511604 16 19627 0 0 19529
11174106 0 4165 531734 16 20020 0 0 19529
11630436 0 4165 551864 16 20413 0 0 19529
11911336 0 4165 571993 16 20807 0 0 19534
11977763 0 4165 592120 16 21200 0 0 19534
11878398 0 4165 612250 16 21593 0 0 19534
11523688 0 4165 632378 16 21986 0 0 19529
11094397 0 4165 652511 16 22379 0 0 19529
10547785 0 4165 672636 16 22772 0 0 19529
9882103 0 4165 692766 16 23165 0 0 19529
9332346 0 4165 712894 16 23559 0 0 19534
8854961 0 4165 733024 16 23952 0 0 19534
8593978 0 4165 753152 16 24345 0 0 19534
8584054 0 4165 773282 16 24738 0 0 19529
8801764 0 4165 793410 16 25131 0 0 19529
9219122 0 4165 813540 16 25524 0 0 19529
9779880 0 4165 833670 16 25917 0 0 19529
10485711 0 4165 853798 16 26311 0 0 19534
11058743 0 4165 873928 16 26704 0 0 19534
11570785 0 4165 894056 16 27097 0 0 19534
11921962 0 4165 914186 16 27490 0 0 19529
11969084 0 4165 934314 16 27883 0 0 19529
11707711 0 4165 954445 16 28276 0 0 19529
11232896 0 4165 974575 16 28670 0 0 19534
10626824 0 4165 994703 16 29063 0 0 19534
9775730 0 4166 14830 16 29456 0 0 19534
9170653 0 4166 34963 16 29849 0 0 19534
8734658 0 4166 55088 16 30242 0 0 19529
8560186 0 4166 75218 16 30635 0 0 19529
8676023 0 4166 95349 16 31028 0 0 19529
9131921 0 4166 115479 16 31421 0 0 19529
9635885 0 4166 135607 16 31815 0 0 19534
10239182 0 4166 155733 16 32208 0 0 19534
11025833 0 4166 175862 16 32601 0 0 19529
11468337 0 4166 195991 16 32994 0 0 19529
11834439 0 4166 216120 16 33387 0 0 19529
11987457 0 4166 236249 16 33780 0 0 19529
11924643 0 4166 256378 16 34173 0 0 19529
11417138 0 4166 276509 16 34567 0 0 19534
10844265 0 4166 296637 16 34960 0 0 19534
10454311 0 4166 316764 16 35353 0 0 19534
9819550 0 4166 336895 16 35746 0 0 19529
9308177 0 4166 357023 16 36139 0 0 19529
8779782 0 4166 377152 16 36532 0 0 19529
8572601 0 4166 397280 16 36925 0 0 19529
8581377 0 4166 417410 16 37319 0 0 19534
8833870 0 4166 437541 16 37712 0 0 19534
9112432 0 4166 457668 16 38105 0 0 19534
9814461 0 4166 477799 16 38498 0 0 19529
10535959 0 4166 497926 16 38891 0 0 19529
