ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
9130292 0 949 918128 0 -3000001 0 0 -15007856
9130288 0 949 938257 0 -3000028 0 0 -15007990
9130296 0 949 958389 0 -3000104 0 0 -15008367
9130301 0 949 978516 0 -3000226 0 0 -15008973
9130299 0 949 998645 0 -3000396 0 0 -15009818
9130309 0 950 18774 0 -3000613 0 0 -15010896
9130310 0 950 38903 0 -3000877 0 0 -15012207
9130312 0 950 59033 0 -3001188 0 0 -15013752
9130322 0 950 79160 0 -3001546 0 0 -15015531
9130326 0 950 99291 16 -3001938 0 0 -15017478
9130324 0 950 119420 16 -3002331 0 0 -11575
9130329 0 950 139548 16 -3002724 0 0 -13394
9130331 0 950 159677 16 -3003117 0 0 -14968
9130335 0 950 179806 16 -3003511 0 0 -16320
9130331 0 950 199934 16 -3003904 0 0 -17428
9130333 0 950 220065 16 -3004297 0 0 -18302
9130336 0 950 240193 16 -3004690 0 0 -18943
9130335 0 950 260322 16 -3005083 0 0 -19350
9130335 0 950 280451 16 -3005476 0 0 -19524
9130338 0 950 300579 16 -3005870 0 0 -19534
9130330 0 950 320710 16 -3006263 0 0 -19534
9130341 0 950 340838 16 -3006656 0 0 -19534
9130342 0 950 360969 16 -3007049 0 0 -19534
9130339 0 950 381098 16 -3007442 0 0 -19529
9130337 0 950 401227 16 -3007835 0 0 -19529
9130334 0 950 421355 16 -3008228 0 0 -19529
9130336 0 950 441486 16 -3008621 0 0 -19529
9130335 0 950 461613 16 -3009015 0 0 -19534
9130332 0 950 481743 16 -3009408 0 0 -19534
9130337 0 950 501872 16 -3009801 0 0 -19529
9130338 0 950 521998 16 -3010194 0 0 -19529
9130327 0 950 542131 16 -3010587 0 0 -19529
9130328 0 950 562257 16 -3010980 0 0 -19529
9130334 0 950 582386 16 -3011373 0 0 -19529
9130334 0 950 602515 16 -3011767 0 0 -19534
9130332 0 950 622643 16 -3012160 0 0 -19534
9130330 0 950 642774 16 -3012553 0 0 -19534
9130324 0 950 662903 16 -3012946 0 0 -19529
9130322 0 950 683031 16 -3013339 0 0 -19529
9130327 0 950 703159 16 -3013732 0 0 -19529
9130328 0 950 723290 16 -3014125 0 0 -19529
9130326 0 950 743419 16 -3014519 0 0 -19534
9130332 0 950 763547 16 -3014912 0 0 -19534
9130333 0 950 783677 16 -3015305 0 0 -19534
9130339 0 950 803806 16 -3015698 0 0 -19529
9130341 0 950 823935 16 -3016091 0 0 -19529
9130339 0 950 844063 16 -3016484 0 0 -19529
9130336 0 950 864192 16 -3016877 0 0 -19529
9130341 0 950 884322 16 -3017271 0 0 -19534
9130336 0 950 904451 16 -3017664 0 0 -19534
9130331 0 950 924579 16 -3018057 0 0 -19534
9130336 0 950 944708 16 -3018450 0 0 -19529
9130329 0 950 964837 16 -3018843 0 0 -19529
9130335 0 950 984965 16 -3019236 0 0 -19529
9130333 0 951 5096 16 -3019630 0 0 -19534
9130334 0 951 25225 16 -3020023 0 0 -19534
9130336 0 951 45354 16 -3020416 0 0 -19534
9130346 0 951 65482 16 -3020809 0 0 -19534
9130343 0 951 85611 16 -3021202 0 0 -19529
9130342 0 951 105740 16 -3021595 0 0 -19529
9130346 0 951 125868 16 -3021988 0 0 -19529
9130345 0 951 145997 16 -3022382 0 0 -19534
9130345 0 951 166130 16 -3022775 0 0 -19534
9130347 0 951 186259 16 -3023168 0 0 -19534
9130342 0 951 206387 16 -3023561 0 0 -19529
9130342 0 951 226516 16 -3023954 0 0 -19529
9130343 0 951 246643 16 -3024347 0 0 -19529
9130343 0 951 266773 16 -3024740 0 0 -19529
9130338 0 951 286904 16 -3025133 0 0 -19529
9130339 0 951 307030 16 -3025527 0 0 -19534
9130340 0 951 327159 16 -3025920 0 0 -19534
9130337 0 951 347290 16 -3026313 0 0 -19529
9130331 0 951 367418 16 -3026706 0 0 -19529
