ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8508993 0 2292 881816 0 -4999999 0 0 -24942761
8511192 0 2292 901945 0 -4999972 0 0 -24942627
8521169 0 2292 922074 0 -4999896 0 0 -24942250
8527416 0 2292 942203 0 -4999774 0 0 -24941644
8528527 0 2292 962332 0 -4999604 0 0 -24940799
8529004 0 2292 982461 0 -4999388 0 0 -24939726
8516947 0 2293 2590 0 -4999124 0 0 -24938414
8513703 0 2293 22719 0 -4998812 0 0 -24936864
8521492 0 2293 42848 0 -4998454 0 0 -24935086
8523544 0 2293 62977 16 -4998062 0 0 -24933138
8520886 0 2293 83106 16 -4997669 0 0 11575
8515177 0 2293 103235 16 -4997276 0 0 13394
8512695 0 2293 123364 16 -4996883 0 0 14968
8522094 0 2293 143493 16 -4996490 0 0 16315
8530447 0 2293 163622 16 -4996097 0 0 17423
8518844 0 2293 183751 16 -4995704 0 0 18302
8511833 0 2293 203880 16 -4995310 0 0 18948
8509792 0 2293 224011 16 -4994917 0 0 19350
8508637 0 2293 244138 16 -4994524 0 0 19524
8507562 0 2293 264267 16 -4994131 0 0 19529
8507406 0 2293 284396 16 -4993738 0 0 19529
8507790 0 2293 304525 16 -4993345 0 0 19529
8508344 0 2293 324654 16 -4992951 0 0 19534
8509095 0 2293 344783 16 -4992558 0 0 19534
8509636 0 2293 364912 16 -4992165 0 0 19534
8510302 0 2293 385041 16 -4991772 0 0 19534
8511007 0 2293 405169 16 -4991379 0 0 19529
8512209 0 2293 425302 16 -4990986 0 0 19529
8513614 0 2293 445429 16 -4990593 0 0 19529
8514399 0 2293 465558 16 -4990199 0 0 19534
8514899 0 2293 485689 16 -4989806 0 0 19534
8515163 0 2293 505814 16 -4989413 0 0 19534
8515933 0 2293 525944 16 -4989020 0 0 19529
8517080 0 2293 546076 16 -4988627 0 0 19529
8517221 0 2293 566201 16 -4988234 0 0 19529
8517446 0 2293 586330 16 -4987841 0 0 19529
8518289 0 2293 606461 16 -4987447 0 0 19534
8519730 0 2293 626588 16 -4987054 0 0 19534
8521069 0 2293 646718 16 -4986661 0 0 19534
8521351 0 2293 666847 16 -4986268 0 0 19529
8522016 0 2293 686975 16 -4985875 0 0 19529
8523139 0 2293 707104 16 -4985482 0 0 19529
8523822 0 2293 727233 16 -4985089 0 0 19529
8524182 0 2293 747363 16 -4984695 0 0 19534
8524648 0 2293 767492 16 -4984302 0 0 19534
8525311 0 2293 787620 16 -4983909 0 0 19534
8525875 0 2293 807749 16 -4983516 0 0 19529
8526200 0 2293 827878 16 -4983123 0 0 19529
8526492 0 2293 848011 16 -4982730 0 0 19529
8526501 0 2293 868137 16 -4982337 0 0 19529
8526569 0 2293 888265 16 -4981943 0 0 19534
8527022 0 2293 908394 16 -4981550 0 0 19534
8527942 0 2293 928523 16 -4981157 0 0 19534
8528029 0 2293 948652 16 -4980764 0 0 19529
8527473 0 2293 968781 16 -4980371 0 0 19529
8527887 0 2293 988911 16 -4979978 0 0 19529
8528350 0 2294 9040 16 -4979585 0 0 19529
8528312 0 2294 29169 16 -4979191 0 0 19534
8527935 0 2294 49297 16 -4978798 0 0 19534
8527645 0 2294 69426 16 -4978405 0 0 19534
8528001 0 2294 89555 16 -4978012 0 0 19529
8528735 0 2294 109685 16 -4977619 0 0 19529
8528941 0 2294 129814 16 -4977226 0 0 19529
8528973 0 2294 149942 16 -4976832 0 0 19534
8529492 0 2294 170071 16 -4976439 0 0 19534
8529609 0 2294 190200 16 -4976046 0 0 19534
8526442 0 2294 210330 16 -4975653 0 0 19534
8519182 0 2294 230459 16 -4975260 0 0 19529
8508967 0 2294 250590 16 -4974867 0 0 19529
8511215 0 2294 270719 16 -4974474 0 0 19529
8528347 0 2294 290848 16 -4974081 0 0 19529
8510411 0 2294 310974 16 -4973687 0 0 19534
8508217 0 2294 331106 16 -4973294 0 0 19534
8509048 0 2294 351235 16 -4972901 0 0 19529
8508156 0 2294 371362 16 -4972508 0 0 19529
8507446 0 2294 391493 16 -4972115 0 0 19529
8510219 0 2294 411622 16 -4971722 0 0 19529
8514667 0 2294 431748 16 -4971329 0 0 19529
8520335 0 2294 451876 16 -4970935 0 0 19534
8526003 0 2294 472009 16 -4970542 0 0 19534
8529293 0 2294 492136 16 -4970149 0 0 19534
8529794 0 2294 512264 16 -4969756 0 0 19529
8527623 0 2294 532393 16 -4969363 0 0 19529
8524623 0 2294 552523 16 -4968970 0 0 19529
8519843 0 2294 572652 16 -4968577 0 0 19529
8516706 0 2294 592781 16 -4968183 0 0 19534
8513849 0 2294 612909 16 -4967790 0 0 19534
8512679 0 2294 633038 16 -4967397 0 0 19534
8512478 0 2294 653168 16 -4967004 0 0 19529
8513004 0 2294 673297 16 -4966611 0 0 19529
8514358 0 2294 693426 16 -4966218 0 0 19529
8516507 0 2294 713554 16 -4965825 0 0 19529
8519544 0 2294 733683 16 -4965431 0 0 19534
8521807 0 2294 753812 16 -4965038 0 0 19534
8524817 0 2294 773941 16 -4964645 0 0 19534
8526956 0 2294 794071 16 -4964252 0 0 19529
8527337 0 2294 814199 16 -4963859 0 0 19529
8526323 0 2294 834328 16 -4963466 0 0 19529
8523989 0 2294 854456 16 -4963072 0 0 19534
8519779 0 2294 874587 16 -4962679 0 0 19534
8515853 0 2294 894716 16 -4962286 0 0 19534
8512131 0 2294 914844 16 -4961893 0 0 19534
8509916 0 2294 934973 16 -4961500 0 0 19529
8510372 0 2294 955104 16 -4961107 0 0 19529
8512760 0 2294 975233 16 -4960714 0 0 19529
8517738 0 2294 995362 16 -4960320 0 0 19534
8522090 0 2295 15491 16 -4959927 0 0 19534
8526666 0 2295 35618 16 -4959534 0 0 19534
8530092 0 2295 55749 16 -4959141 0 0 19529
8530827 0 2295 75878 16 -4958748 0 0 19529
8528877 0 2295 96011 16 -4958355 0 0 19529
8526488 0 2295 116136 16 -4957962 0 0 19529
8521108 0 2295 136266 16 -4957568 0 0 19534
8515503 0 2295 156392 16 -4957175 0 0 19534
8510800 0 2295 176521 16 -4956782 0 0 19534
8507862 0 2295 196652 16 -4956389 0 0 19529
8506809 0 2295 216779 16 -4955996 0 0 19529
8507961 0 2295 236910 16 -4955603 0 0 19529
8511413 0 2295 257039 16 -4955210 0 0 19529
8514714 0 2295 277168 16 -4954816 0 0 19534
8519447 0 2295 297295 16 -4954423 0 0 19534
8524870 0 2295 317424 16 -4954030 0 0 19534
8528604 0 2295 337553 16 -4953637 0 0 19529
8530948 0 2295 357681 16 -4953244 0 0 19529
8531410 0 2295 377813 16 -4952851 0 0 19529
8530253 0 2295 397942 16 -4952458 0 0 19529
8527814 0 2295 418069 16 -4952064 0 0 19534
8524308 0 2295 438198 16 -4951671 0 0 19534
8519790 0 2295 458329 16 -4951278 0 0 19534
8516845 0 2295 478458 16 -4950885 0 0 19529
8513445 0 2295 498585 16 -4950492 0 0 19529
8510636 0 2295 518714 16 -4950099 0 0 19529
8509862 0 2295 538843 16 -4949706 0 0 19529
8509890 0 2295 558972 16 -4949312 0 0 19534
8510732 0 2295 579103 16 -4948919 0 0 19534
8512805 0 2295 599232 16 -4948526 0 0 19534
8516763 0 2295 619359 16 -4948133 0 0 19529
8518941 0 2295 639488 16 -4947740 0 0 19529
8521693 0 2295 659617 16 -4947347 0 0 19529
8524182 0 2295 679746 16 -4946954 0 0 19529
8526085 0 2295 699877 16 -4946560 0 0 19534
8527360 0 2295 720006 16 -4946167 0 0 19534
8527484 0 2295 740133 16 -4945774 0 0 19534
8526771 0 2295 760261 16 -4945381 0 0 19529
8525130 0 2295 780393 16 -4944988 0 0 19529
8523576 0 2295 800522 16 -4944595 0 0 19529
8521331 0 2295 820650 16 -4944202 0 0 19529
8519143 0 2295 840779 16 -4943808 0 0 19534
8517337 0 2295 860909 16 -4943415 0 0 19534
8515593 0 2295 881039 16 -4943022 0 0 19534
8514713 0 2295 901168 16 -4942629 0 0 19529
8513898 0 2295 921297 16 -4942236 0 0 19529
8513586 0 2295 941425 16 -4941843 0 0 19529
8513759 0 2295 961553 16 -4941450 0 0 19529
8514195 0 2295 981682 16 -4941056 0 0 19534
8514995 0 2296 1813 16 -4940663 0 0 19534
8515906 0 2296 21940 16 -4940270 0 0 19534
8517046 0 2296 42070 16 -4939877 0 0 19529
8518122 0 2296 62198 16 -4939484 0 0 19529
8519596 0 2296 82327 16 -4939091 0 0 19529
8520801 0 2296 102456 16 -4938698 0 0 19529
8521911 0 2296 122585 16 -4938304 0 0 19534
8522955 0 2296 142714 16 -4937911 0 0 19534
8523787 0 2296 162843 16 -4937518 0 0 19534
8524828 0 2296 182972 16 -4937125 0 0 19529
8525241 0 2296 203101 16 -4936732 0 0 19529
8525357 0 2296 223230 16 -4936339 0 0 19529
8525379 0 2296 243359 16 -4935946 0 0 19529
8524942 0 2296 263488 16 -4935552 0 0 19534
8524084 0 2296 283617 16 -4935159 0 0 19534
8522701 0 2296 303746 16 -4934766 0 0 19534
8521535 0 2296 323875 16 -4934373 0 0 19529
8519526 0 2296 344005 16 -4933980 0 0 19529
8517818 0 2296 364133 16 -4933587 0 0 19529
8515926 0 2296 384262 16 -4933193 0 0 19534
8514274 0 2296 404391 16 -4932800 0 0 19534
8513081 0 2296 424520 16 -4932407 0 0 19534
8511938 0 2296 444649 16 -4932014 0 0 19534
8511459 0 2296 464778 16 -4931621 0 0 19529
8511674 0 2296 484907 16 -4931228 0 0 19529
8512578 0 2296 505036 16 -4930835 0 0 19529
8513850 0 2296 525165 16 -4930441 0 0 19534
8515854 0 2296 545294 16 -4930048 0 0 19534
8517847 0 2296 565423 16 -4929655 0 0 19534
8519598 0 2296 585552 16 -4929262 0 0 19529
8522520 0 2296 605681 16 -4928869 0 0 19529
8524795 0 2296 625810 16 -4928476 0 0 19529
8526733 0 2296 645938 16 -4928083 0 0 19529
8528170 0 2296 666067 16 -4927689 0 0 19534
8528855 0 2296 686200 16 -4927296 0 0 19534
8529208 0 2296 706329 16 -4926903 0 0 19534
8528840 0 2296 726458 16 -4926510 0 0 19529
8528137 0 2296 746583 16 -4926117 0 0 19529
8526301 0 2296 766714 16 -4925724 0 0 19529
8524273 0 2296 786845 16 -4925331 0 0 19529
8521705 0 2296 806971 16 -4924937 0 0 19534
8518868 0 2296 827100 16 -4924544 0 0 19534
8517105 0 2296 847232 16 -4924151 0 0 19534
8514002 0 2296 867357 16 -4923758 0 0 19529
8512219 0 2296 887486 16 -4923365 0 0 19529
8510969 0 2296 907615 16 -4922972 0 0 19529
8509262 0 2296 927744 16 -4922579 0 0 19529
8508577 0 2296 947874 16 -4922185 0 0 19534
8508527 0 2296 968006 16 -4921792 0 0 19534
8509412 0 2296 988131 16 -4921399 0 0 19534
8510556 0 2297 8260 16 -4921006 0 0 19529
8513087 0 2297 28389 16 -4920613 0 0 19529
8515576 0 2297 48518 16 -4920220 0 0 19529
8517826 0 2297 68648 16 -4919827 0 0 19529
8520816 0 2297 88777 16 -4919433 0 0 19534
8522516 0 2297 108906 16 -4919040 0 0 19534
8525392 0 2297 129035 16 -4918647 0 0 19534
8527683 0 2297 149163 16 -4918254 0 0 19529
8528814 0 2297 169292 16 -4917861 0 0 19529
8530476 0 2297 189421 16 -4917468 0 0 19529
8530920 0 2297 209551 16 -4917075 0 0 19529
8530698 0 2297 229680 16 -4916681 0 0 19534
8530037 0 2297 249809 16 -4916288 0 0 19534
8529385 0 2297 269937 16 -4915895 0 0 19534
8527588 0 2297 290066 16 -4915502 0 0 19529
8525066 0 2297 310195 16 -4915109 0 0 19529
8523263 0 2297 330324 16 -4914716 0 0 19529
8521041 0 2297 350454 16 -4914323 0 0 19529
8519045 0 2297 370583 16 -4913929 0 0 19534
8516097 0 2297 390711 16 -4913536 0 0 19534
8513301 0 2297 410840 16 -4913143 0 0 19534
8512025 0 2297 430969 16 -4912750 0 0 19529
8510762 0 2297 451099 16 -4912357 0 0 19529
8510242 0 2297 471228 16 -4911964 0 0 19529
8509905 0 2297 491359 16 -4911571 0 0 19529
8510216 0 2297 511488 16 -4911177 0 0 19534
8510858 0 2297 531617 16 -4910784 0 0 19534
8512241 0 2297 551743 16 -4910391 0 0 19534
8513438 0 2297 571875 16 -4909998 0 0 19529
8515007 0 2297 592006 16 -4909605 0 0 19529
8517134 0 2297 612131 16 -4909212 0 0 19529
8518575 0 2297 632262 16 -4908818 0 0 19534
8520250 0 2297 652391 16 -4908425 0 0 19534
