ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
10834153 0 2760 77895 0 -1 0 0 -47059
10834129 0 2760 98024 0 -28 0 0 -47193
10834101 0 2760 118153 0 -103 0 0 -47566
10834041 0 2760 138281 0 -226 0 0 -48177
10834031 0 2760 158410 16 -394 0 0 -49012
10833996 0 2760 178539 16 -576 0 0 -49916
10833977 0 2760 198668 16 -758 0 0 -50820
10833931 0 2760 218797 16 -939 0 0 -51719
10833905 0 2760 238927 16 -1121 0 0 -52623
10833891 0 2760 259056 16 -1303 0 0 -53527
10833841 0 2760 279185 16 -1485 0 0 -7372
10833824 0 2760 299314 16 -1667 0 0 -8142
10833835 0 2760 319442 16 -1849 0 0 -8674
10833821 0 2760 339571 16 -2030 0 0 -8962
10833829 0 2760 359700 16 -2212 0 0 -9032
10833855 0 2760 379829 16 -2394 0 0 -9032
10833849 0 2760 399958 16 -2576 0 0 -9032
10833848 0 2760 420088 16 -2758 0 0 -9037
10833839 0 2760 440217 16 -2940 0 0 -9037
10833852 0 2760 460346 16 -3121 0 0 -9032
10833863 0 2760 480475 16 -3303 0 0 -9032
10833865 0 2760 500604 16 -3485 0 0 -9032
10833877 0 2760 520733 16 -3667 0 0 -9032
10833893 0 2760 540862 16 -3849 0 0 -9037
10833920 0 2760 560993 16 -4031 0 0 -9037
10833919 0 2760 581122 16 -4212 0 0 -9032
10833892 0 2760 601251 16 -4394 0 0 -9032
10833889 0 2760 621377 16 -4576 0 0 -9032
10833907 0 2760 641509 16 -4758 0 0 -9032
10833922 0 2760 661638 16 -4940 0 0 -9037
10833918 0 2760 681764 16 -5122 0 0 -9037
10833913 0 2760 701896 16 -5303 0 0 -9032
10833909 0 2760 722026 16 -5485 0 0 -9032
10833881 0 2760 742151 16 -5667 0 0 -9032
10833889 0 2760 762281 16 -5849 0 0 -9032
10833931 0 2760 782409 16 -6031 0 0 -9037
10833924 0 2760 802539 16 -6213 0 0 -9037
10833912 0 2760 822668 16 -6394 0 0 -9032
10833914 0 2760 842797 16 -6576 0 0 -9032
10833891 0 2760 862926 16 -6758 0 0 -9032
10833892 0 2760 883055 16 -6940 0 0 -9032
10833885 0 2760 903184 16 -7122 0 0 -9037
10833889 0 2760 923313 16 -7303 0 0 -9032
10833908 0 2760 943441 16 -7485 0 0 -9032
10833891 0 2760 963570 16 -7667 0 0 -9032
10833902 0 2760 983699 16 -7849 0 0 -9032
10833903 0 2761 3828 16 -8031 0 0 -9032
10833894 0 2761 23959 16 -8213 0 0 -9037
10833898 0 2761 44088 16 -8394 0 0 -9032
10833910 0 2761 64217 16 -8576 0 0 -9032
10833901 0 2761 84346 16 -8758 0 0 -9032
10833916 0 2761 104475 16 -8940 0 0 -9032
