ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8404040 0 524 973385 0 -1999999 0 0 -9983461
8403991 0 524 993514 0 -1999972 0 0 -9983327
8404104 0 525 13645 0 -1999897 0 0 -9982954
8404609 0 525 33774 0 -1999774 0 0 -9982343
8404471 0 525 53903 16 -1999606 0 0 -9981508
8403982 0 525 74029 16 -1999424 0 0 -9980604
8403892 0 525 94160 16 -1999242 0 0 -9979700
8403896 0 525 114289 16 -1999061 0 0 -9978801
8403897 0 525 134416 16 -1998879 0 0 -9977897
8403911 0 525 154547 16 -1998697 0 0 -9976993
8403921 0 525 174677 16 -1998515 0 0 7372
8403924 0 525 194804 16 -1998333 0 0 8143
8403927 0 525 214933 16 -1998151 0 0 8674
8403919 0 525 235061 16 -1997970 0 0 8962
8403915 0 525 255190 16 -1997788 0 0 9032
8403912 0 525 275318 16 -1997606 0 0 9032
8403906 0 525 295449 16 -1997424 0 0 9032
8403905 0 525 315578 16 -1997242 0 0 9037
8403906 0 525 335707 16 -1997060 0 0 9037
8403895 0 525 355835 16 -1996879 0 0 9032
8403891 0 525 375964 16 -1996697 0 0 9032
8403889 0 525 396093 16 -1996515 0 0 9032
8403892 0 525 416223 16 -1996333 0 0 9032
8403890 0 525 436352 16 -1996151 0 0 9037
8403903 0 525 456480 16 -1995969 0 0 9037
8403912 0 525 476609 16 -1995788 0 0 9032
8403914 0 525 496738 16 -1995606 0 0 9032
8403918 0 525 516867 16 -1995424 0 0 9032
8403912 0 525 536997 16 -1995242 0 0 9032
8403932 0 525 557126 16 -1995060 0 0 9037
8403970 0 525 577255 16 -1994878 0 0 9037
8403982 0 525 597383 16 -1994697 0 0 9032
8404012 0 525 617513 16 -1994515 0 0 9032
8404036 0 525 637641 16 -1994333 0 0 9032
8404045 0 525 657772 16 -1994151 0 0 9032
8404084 0 525 677901 16 -1993969 0 0 9037
8404104 0 525 698029 16 -1993787 0 0 9037
8404106 0 525 718158 16 -1993606 0 0 9032
8404142 0 525 738288 16 -1993424 0 0 9032
8404163 0 525 758417 16 -1993242 0 0 9032
8404168 0 525 778546 16 -1993060 0 0 9032
8404224 0 525 798674 16 -1992878 0 0 9037
8404260 0 525 818804 16 -1992697 0 0 9032
8404281 0 525 838933 16 -1992515 0 0 9032
8404320 0 525 859063 16 -1992333 0 0 9032
8404338 0 525 879190 16 -1992151 0 0 9032
8404372 0 525 899320 16 -1991969 0 0 9032
8404431 0 525 919447 16 -1991787 0 0 9037
8404454 0 525 939577 16 -1991606 0 0 9032
8404492 0 525 959708 16 -1991424 0 0 9032
8404523 0 525 979835 16 -1991242 0 0 9032
8404540 0 525 999966 16 -1991060 0 0 9032
8404607 0 526 20092 16 -1990878 0 0 9037
8404656 0 526 40221 16 -1990696 0 0 9037
8404651 0 526 60350 16 -1990515 0 0 9032
8404662 0 526 80479 16 -1990333 0 0 9032
8404675 0 526 100607 16 -1990151 0 0 9032
8404700 0 526 120738 16 -1989969 0 0 9032
8404740 0 526 140867 16 -1989787 0 0 9037
8404754 0 526 160996 16 -1989605 0 0 9037
8404760 0 526 181124 16 -1989424 0 0 9032
8404779 0 526 201253 16 -1989242 0 0 9032
8404794 0 526 221381 16 -1989060 0 0 9032
8404816 0 526 241512 16 -1988878 0 0 9032
8404822 0 526 261641 16 -1988696 0 0 9037
8404822 0 526 281770 16 -1988514 0 0 9037
8404825 0 526 301899 16 -1988333 0 0 9032
8404827 0 526 322027 16 -1988151 0 0 9032
8404826 0 526 342156 16 -1987969 0 0 9032
8404818 0 526 362285 16 -1987787 0 0 9032
8404806 0 526 382413 16 -1987605 0 0 9037
8404794 0 526 402542 16 -1987423 0 0 9037
8404772 0 526 422674 16 -1987242 0 0 9032
8404747 0 526 442803 16 -1987060 0 0 9032
8404746 0 526 462932 16 -1986878 0 0 9032
8404710 0 526 483060 16 -1986696 0 0 9032
8404682 0 526 503189 16 -1986514 0 0 9037
8404650 0 526 523317 16 -1986332 0 0 9037
8404629 0 526 543446 16 -1986151 0 0 9032
8404623 0 526 563577 16 -1985969 0 0 9032
8404578 0 526 583706 16 -1985787 0 0 9032
8404512 0 526 603834 16 -1985605 0 0 9032
8404471 0 526 623964 16 -1985423 0 0 9037
8404413 0 526 644093 16 -1985242 0 0 9032
8404395 0 526 664224 16 -1985060 0 0 9032
8404402 0 526 684350 16 -1984878 0 0 9032
8404327 0 526 704481 16 -1984696 0 0 9032
8404261 0 526 724607 16 -1984514 0 0 9032
8404259 0 526 744738 16 -1984332 0 0 9037
8404226 0 526 764867 16 -1984151 0 0 9032
8404206 0 526 784994 16 -1983969 0 0 9032
8404157 0 526 805126 16 -1983787 0 0 9032
8404070 0 526 825253 16 -1983605 0 0 9032
8404060 0 526 845382 16 -1983423 0 0 9037
8404035 0 526 865510 16 -1983241 0 0 9037
8404013 0 526 885639 16 -1983060 0 0 9032
8404008 0 526 905768 16 -1982878 0 0 9032
8403959 0 526 925898 16 -1982696 0 0 9032
8403925 0 526 946027 16 -1982514 0 0 9032
8403923 0 526 966156 16 -1982332 0 0 9037
8403895 0 526 986284 16 -1982150 0 0 9037
8403872 0 527 6413 16 -1981969 0 0 9032
8403865 0 527 26542 16 -1981787 0 0 9032
8403836 0 527 46671 16 -1981605 0 0 9032
