ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8561132 0 1406 629008 8 20480 0 0 -42950377
8580038 0 1406 649134 0 9999999 0 0 6634832
8611893 0 1406 669264 0 9999972 0 0 6634697
8630871 0 1406 689393 0 9999897 0 0 6634325
8680442 0 1406 709521 0 9999774 0 0 6633714
8687151 0 1406 729650 0 9999605 0 0 6632874
8684824 0 1406 749780 0 9999388 0 0 6631796
8540424 0 1406 769907 0 9999124 0 0 6630485
8486145 0 1406 790039 0 9998813 0 0 6628940
8654880 0 1406 810167 0 9998455 0 0 6627161
8448520 0 1406 830296 16 9998063 0 0 49575590
8428311 0 1406 850423 16 9997670 0 0 -11571
8563693 0 1406 870552 16 9997277 0 0 -13389
8667307 0 1406 890682 16 9996884 0 0 -14969
8597105 0 1406 910814 16 9996491 0 0 -16310
8421148 0 1406 930943 16 9996098 0 0 -17422
8551895 0 1406 951072 16 9995705 0 0 -18297
8679645 0 1406 971201 16 9995311 0 0 -18942
8598445 0 1406 991329 16 9994918 0 0 -19350
8522801 0 1407 11456 16 9994525 0 0 -19524
8487221 0 1407 31587 16 9994132 0 0 -19529
8470022 0 1407 51716 16 9993739 0 0 -19529
8464795 0 1407 71843 16 9993346 0 0 -19529
8470398 0 1407 91975 16 9992953 0 0 -19529
8480279 0 1407 112102 16 9992559 0 0 -19534
8493743 0 1407 132231 16 9992166 0 0 -19534
8506769 0 1407 152358 16 9991773 0 0 -19534
8521345 0 1407 172487 16 9991380 0 0 -19529
8539780 0 1407 192618 16 9990987 0 0 -19529
8556648 0 1407 212747 16 9990594 0 0 -19529
8570217 0 1407 232876 16 9990201 0 0 -19529
8576853 0 1407 253007 16 9989807 0 0 -19534
8581078 0 1407 273134 16 9989414 0 0 -19534
8582436 0 1407 293263 16 9989021 0 0 -19534
8585029 0 1407 313392 16 9988628 0 0 -19529
8581979 0 1407 333519 16 9988235 0 0 -19529
8576385 0 1407 353648 16 9987842 0 0 -19529
8573111 0 1407 373777 16 9987449 0 0 -19529
8572325 0 1407 393908 16 9987055 0 0 -19534
8576358 0 1407 414037 16 9986662 0 0 -19534
8584964 0 1407 434166 16 9986269 0 0 -19534
8596462 0 1407 454295 16 9985876 0 0 -19529
8603838 0 1407 474423 16 9985483 0 0 -19529
8607352 0 1407 494553 16 9985090 0 0 -19529
8614688 0 1407 514680 16 9984696 0 0 -19534
8621753 0 1407 534809 16 9984303 0 0 -19534
8629192 0 1407 554938 16 9983910 0 0 -19534
8633905 0 1407 575068 16 9983517 0 0 -19534
8636965 0 1407 595197 16 9983124 0 0 -19529
8643015 0 1407 615326 16 9982731 0 0 -19529
8650221 0 1407 635455 16 9982338 0 0 -19529
8652099 0 1407 655584 16 9981944 0 0 -19534
8656348 0 1407 675714 16 9981551 0 0 -19534
8658396 0 1407 695841 16 9981158 0 0 -19534
8658487 0 1407 715971 16 9980765 0 0 -19529
8661046 0 1407 736102 16 9980372 0 0 -19529
8664059 0 1407 756231 16 9979979 0 0 -19529
8663983 0 1407 776360 16 9979586 0 0 -19529
8662864 0 1407 796487 16 9979192 0 0 -19534
8660411 0 1407 816616 16 9978799 0 0 -19534
8659383 0 1407 836748 16 9978406 0 0 -19534
8656562 0 1407 856875 16 9978013 0 0 -19529
8653654 0 1407 877007 16 9977620 0 0 -19529
8652335 0 1407 897136 16 9977227 0 0 -19529
8650164 0 1407 917260 16 9976834 0 0 -19529
8651482 0 1407 937390 16 9976440 0 0 -19534
8608669 0 1407 957519 16 9976047 0 0 -19534
8504054 0 1407 977650 16 9975654 0 0 -19534
8557050 0 1407 997779 16 9975261 0 0 -19529
8567000 0 1408 17908 16 9974868 0 0 -19529
8658352 0 1408 38037 16 9974475 0 0 -19529
8665701 0 1408 58164 16 9974082 0 0 -19529
8678744 0 1408 78293 16 9973688 0 0 -19534
8669062 0 1408 98422 16 9973295 0 0 -19534
8652026 0 1408 118551 16 9972902 0 0 -19534
8622357 0 1408 138680 16 9972509 0 0 -19529
8572479 0 1408 158811 16 9972116 0 0 -19529
8523703 0 1408 178938 16 9971723 0 0 -19529
8469830 0 1408 199067 16 9971330 0 0 -19529
8434312 0 1408 219196 16 9970936 0 0 -19534
8412816 0 1408 239325 16 9970543 0 0 -19534
8408955 0 1408 259454 16 9970150 0 0 -19534
8419862 0 1408 279583 16 9969757 0 0 -19529
8448582 0 1408 299712 16 9969364 0 0 -19529
8488170 0 1408 319841 16 9968971 0 0 -19529
8527191 0 1408 339971 16 9968578 0 0 -19529
8580081 0 1408 360100 16 9968184 0 0 -19534
8627578 0 1408 380229 16 9967791 0 0 -19534
8662072 0 1408 400356 16 9967398 0 0 -19534
8687074 0 1408 420485 16 9967005 0 0 -19529
8689915 0 1408 440615 16 9966612 0 0 -19529
8677182 0 1408 460744 16 9966219 0 0 -19529
8647536 0 1408 480873 16 9965826 0 0 -19529
8605633 0 1408 501004 16 9965432 0 0 -19534
8554808 0 1408 521131 16 9965039 0 0 -19534
8514822 0 1408 541263 16 9964646 0 0 -19534
8473126 0 1408 561392 16 9964253 0 0 -19529
8431994 0 1408 581521 16 9963860 0 0 -19529
8411635 0 1408 601646 16 9963467 0 0 -19529
8407019 0 1408 621778 16 9963074 0 0 -19529
8417704 0 1408 641907 16 9962681 0 0 -19529
8440199 0 1408 662034 16 9962287 0 0 -19534
8483981 0 1408 682165 16 9961894 0 0 -19534
8523264 0 1408 702295 16 9961501 0 0 -19529
8565020 0 1408 722421 16 9961108 0 0 -19529
8606102 0 1408 742551 16 9960715 0 0 -19529
8644558 0 1408 762680 16 9960322 0 0 -19529
8674228 0 1408 782809 16 9959928 0 0 -19534
8689318 0 1408 802936 16 9959535 0 0 -19534
8686562 0 1408 823065 16 9959142 0 0 -19534
8667441 0 1408 843196 16 9958749 0 0 -19534
8640848 0 1408 863325 16 9958356 0 0 -19529
8617841 0 1408 883454 16 9957963 0 0 -19529
8585610 0 1408 903583 16 9957570 0 0 -19529
8533161 0 1408 923712 16 9957176 0 0 -19534
8473381 0 1408 943839 16 9956783 0 0 -19534
8439817 0 1408 963970 16 9956390 0 0 -19534
8416738 0 1408 984099 16 9955997 0 0 -19529
8406652 0 1409 4228 16 9955604 0 0 -19529
8413133 0 1409 24357 16 9955211 0 0 -19529
8432609 0 1409 44486 16 9954818 0 0 -19529
8443423 0 1409 64615 16 9954424 0 0 -19534
8467781 0 1409 84742 16 9954031 0 0 -19534
8509211 0 1409 104871 16 9953638 0 0 -19534
8553398 0 1409 125002 16 9953245 0 0 -19529
8610427 0 1409 145130 16 9952852 0 0 -19529
8640490 0 1409 165259 16 9952459 0 0 -19529
8665852 0 1409 185389 16 9952066 0 0 -19529
8687435 0 1409 205516 16 9951672 0 0 -19534
8690627 0 1409 225646 16 9951279 0 0 -19534
8684203 0 1409 245775 16 9950886 0 0 -19534
8673527 0 1409 265904 16 9950493 0 0 -19529
8657446 0 1409 286033 16 9950100 0 0 -19529
8635702 0 1409 306163 16 9949707 0 0 -19529
8598345 0 1409 326292 16 9949313 0 0 -19534
8532891 0 1409 346421 16 9948920 0 0 -19534
8484490 0 1409 366551 16 9948527 0 0 -19534
8474772 0 1409 386680 16 9948134 0 0 -19534
8454472 0 1409 406809 16 9947741 0 0 -19529
8424486 0 1409 426938 16 9947348 0 0 -19529
8407394 0 1409 447065 16 9946955 0 0 -19529
8412651 0 1409 467194 16 9946561 0 0 -19534
8420189 0 1409 487326 16 9946168 0 0 -19534
8433249 0 1409 507453 16 9945775 0 0 -19534
8468877 0 1409 527583 16 9945382 0 0 -19529
8511016 0 1409 547709 16 9944989 0 0 -19529
8550734 0 1409 567839 16 9944596 0 0 -19529
8592163 0 1409 587968 16 9944203 0 0 -19529
8624481 0 1409 608097 16 9943809 0 0 -19534
8658634 0 1409 628226 16 9943416 0 0 -19534
8676463 0 1409 648355 16 9943023 0 0 -19534
