ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8389783 0 749 180176 8 20480 0 0 -18755961
8389799 0 749 200306 0 4999999 0 0 5980845
8389778 0 749 220434 0 4999972 0 0 5980711
8389679 0 749 240563 0 4999897 0 0 5980338
8389863 0 749 260693 0 4999774 0 0 5979727
8390063 0 749 280821 0 4999605 0 0 5978888
8390080 0 749 300950 0 4999388 0 0 5977810
8390084 0 749 321080 0 4999124 0 0 5976498
8389976 0 749 341208 0 4998813 0 0 5974953
8389701 0 749 361338 0 4998455 0 0 5973175
8390007 0 749 381470 16 4998063 0 0 24727188
8389803 0 749 401597 16 4997670 0 0 -11570
8389870 0 749 421727 16 4997277 0 0 -13388
8389945 0 749 441856 16 4996883 0 0 -14973
8389707 0 749 461985 16 4996490 0 0 -16315
8390011 0 749 482112 16 4996097 0 0 -17428
8389912 0 749 502241 16 4995704 0 0 -18302
8389677 0 749 522372 16 4995311 0 0 -18943
8389874 0 749 542499 16 4994918 0 0 -19350
8390064 0 749 562631 16 4994525 0 0 -19524
8389970 0 749 582758 16 4994131 0 0 -19534
8389766 0 749 602887 16 4993738 0 0 -19534
8389669 0 749 623016 16 4993345 0 0 -19534
8389747 0 749 643146 16 4992952 0 0 -19529
8389939 0 749 663273 16 4992559 0 0 -19529
8390049 0 749 683402 16 4992166 0 0 -19529
8390078 0 749 703531 16 4991773 0 0 -19529
8390022 0 749 723660 16 4991379 0 0 -19534
8389809 0 749 743790 16 4990986 0 0 -19534
8389693 0 749 763917 16 4990593 0 0 -19534
8389964 0 749 784046 16 4990200 0 0 -19529
8390045 0 749 804175 16 4989807 0 0 -19529
8389846 0 749 824305 16 4989414 0 0 -19529
8389727 0 749 844434 16 4989021 0 0 -19529
8389694 0 749 864563 16 4988627 0 0 -19534
8389697 0 749 884692 16 4988234 0 0 -19534
8389754 0 749 904820 16 4987841 0 0 -19534
8389837 0 749 924949 16 4987448 0 0 -19529
8389943 0 749 945078 16 4987055 0 0 -19529
8390023 0 749 965207 16 4986662 0 0 -19529
8390044 0 749 985336 16 4986269 0 0 -19529
8390030 0 750 5466 16 4985875 0 0 -19534
8389938 0 750 25595 16 4985482 0 0 -19534
8389747 0 750 45725 16 4985089 0 0 -19534
8389677 0 750 65852 16 4984696 0 0 -19529
8389839 0 750 85981 16 4984303 0 0 -19529
8389971 0 750 106110 16 4983910 0 0 -19529
8390007 0 750 126240 16 4983516 0 0 -19534
8390046 0 750 146369 16 4983123 0 0 -19534
8390068 0 750 166498 16 4982730 0 0 -19534
8390084 0 750 186630 16 4982337 0 0 -19534
8390079 0 750 206757 16 4981944 0 0 -19529
8390061 0 750 226886 16 4981551 0 0 -19529
8390034 0 750 247016 16 4981158 0 0 -19529
8389979 0 750 267143 16 4980764 0 0 -19534
8389899 0 750 287272 16 4980371 0 0 -19534
8389836 0 750 307405 16 4979978 0 0 -19534
8389793 0 750 327529 16 4979585 0 0 -19529
8389737 0 750 347659 16 4979192 0 0 -19529
8389694 0 750 367791 16 4978799 0 0 -19529
8389669 0 750 387918 16 4978406 0 0 -19529
8389666 0 750 408047 16 4978012 0 0 -19534
8389676 0 750 428177 16 4977619 0 0 -19534
8389707 0 750 448304 16 4977226 0 0 -19534
8389767 0 750 468433 16 4976833 0 0 -19529
8389818 0 750 488562 16 4976440 0 0 -19529
8389872 0 750 508691 16 4976047 0 0 -19529
8389920 0 750 528819 16 4975654 0 0 -19529
8389980 0 750 548948 16 4975260 0 0 -19534
8390036 0 750 569077 16 4974867 0 0 -19534
8390061 0 750 589207 16 4974474 0 0 -19534
8390077 0 750 609336 16 4974081 0 0 -19529
8390078 0 750 629465 16 4973688 0 0 -19529
8390059 0 750 649593 16 4973295 0 0 -19529
8390030 0 750 669722 16 4972902 0 0 -19529
8389998 0 750 689852 16 4972509 0 0 -19529
8389937 0 750 709982 16 4972115 0 0 -19534
8389851 0 750 730109 16 4971722 0 0 -19534
8389807 0 750 750238 16 4971329 0 0 -19529
8389777 0 750 770368 16 4970936 0 0 -19529
8389730 0 750 790497 16 4970543 0 0 -19529
8389678 0 750 810627 16 4970150 0 0 -19529
8389656 0 750 830754 16 4969756 0 0 -19534
8389666 0 750 850883 16 4969363 0 0 -19534
8389674 0 750 871014 16 4968970 0 0 -19534
8389698 0 750 891141 16 4968577 0 0 -19534
8389729 0 750 911271 16 4968184 0 0 -19529
8389760 0 750 931400 16 4967791 0 0 -19529
8389804 0 750 951529 16 4967398 0 0 -19529
8389869 0 750 971657 16 4967004 0 0 -19534
8389926 0 750 991787 16 4966611 0 0 -19534
8389972 0 751 11918 16 4966218 0 0 -19534
