ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8410315 0 16 956724 0 -6999999 0 0 -35148328
8409935 0 16 976853 0 -6999971 0 0 -35148189
8408466 0 16 996983 0 -6999894 0 0 -35147807
8407841 0 17 17112 0 -6999771 0 0 -35147196
8407369 0 17 37240 0 -6999600 0 0 -35146346
8407510 0 17 57368 0 -6999382 0 0 -35145263
8408733 0 17 77497 0 -6999117 0 0 -35143946
8409161 0 17 97628 0 -6998805 0 0 -35142397
8408953 0 17 117757 0 -6998446 0 0 -35140613
8408918 0 17 137885 0 -6998039 0 0 -35138591
8408858 0 17 158014 0 -6997586 0 0 11988
8408489 0 17 178142 0 -6997085 0 0 14338
8407838 0 17 198271 0 -6996537 0 0 16678
8407567 0 17 218401 0 -6995942 0 0 19022
8407279 0 17 238530 0 -6995299 0 0 21367
8407181 0 17 258661 4 -6994610 0 0 23707
8407156 0 17 278787 4 -6993873 0 0 26052
8407181 0 17 298916 4 -6993089 0 0 28397
8407175 0 17 319046 4 -6992258 0 0 30742
8407175 0 17 339175 0 -6991380 0 0 33082
8407139 0 17 359304 0 -6990455 0 0 35426
8407133 0 17 379433 0 -6989493 0 0 37717
8407160 0 17 399566 0 -6988518 0 0 39837
8407188 0 17 419695 0 -6987531 0 0 41785
8407244 0 17 439823 0 -6986533 0 0 43549
8407411 0 17 459951 0 -6985523 0 0 45143
8407571 0 17 480080 0 -6984501 0 0 46559
8407786 0 17 500208 0 -6983467 0 0 47801
8408013 0 17 520337 0 -6982422 0 0 48864
8408248 0 17 540468 0 -6981364 0 0 49759
8408511 0 17 560594 0 -6980295 0 0 50474
8408672 0 17 580726 0 -6979214 0 0 51065
8408805 0 17 600851 0 -6978122 0 0 51648
8408734 0 17 620981 0 -6977017 0 0 52234
8409162 0 17 641110 0 -6975901 0 0 52820
8408437 0 17 661239 0 -6974773 0 0 53406
8409160 0 17 681369 0 -6973633 0 0 53992
8408345 0 17 701498 0 -6972481 0 0 54578
8408599 0 17 721626 0 -6971318 0 0 55165
8408991 0 17 741755 0 -6970142 0 0 55751
8410076 0 17 761884 0 -6968956 0 0 56332
8409799 0 17 782014 0 -6967757 0 0 56918
8408117 0 17 802141 0 -6966546 0 0 57509
8407434 0 17 822271 0 -6965324 0 0 58090
8409009 0 17 842400 0 -6964089 0 0 58682
8410164 0 17 862531 0 -6962843 0 0 59267
8408965 0 17 882659 0 -6961586 0 0 59849
8407487 0 17 902787 0 -6960316 0 0 60436
8408014 0 17 922916 0 -6959034 0 0 61026
8409632 0 17 943045 0 -6957741 0 0 61608
8410161 0 17 963174 0 -6956436 0 0 62199
8408913 0 17 983304 0 -6955120 0 0 62780
8407481 0 18 3433 0 -6953791 0 0 63366
8407835 0 18 23561 0 -6952451 0 0 63953
8409397 0 18 43690 0 -6951098 0 0 64539
8410217 0 18 63819 0 -6949735 0 0 65120
8409064 0 18 83949 0 -6948359 0 0 65711
8407551 0 18 104078 0 -6946971 0 0 66297
8407782 0 18 124206 0 -6945572 0 0 66879
8409364 0 18 144335 0 -6944161 0 0 67465
8410206 0 18 164464 0 -6942738 0 0 68051
8409386 0 18 184594 16 -6941303 0 0 68642
8407872 0 18 204726 16 -6939863 0 0 69193
8407356 0 18 224854 16 -6938423 0 0 69689
8408091 0 18 244982 16 -6936983 0 0 70122
8409486 0 18 265111 16 -6935544 0 0 70500
8410194 0 18 285239 16 -6934104 0 0 70818
8409730 0 18 305369 16 -6932664 0 0 71076
8408517 0 18 325499 16 -6931224 0 0 71279
8407468 0 18 345625 16 -6929784 0 0 71424
8407461 0 18 365753 16 -6928344 0 0 71509
8408447 0 18 385884 16 -6926905 0 0 71529
8409618 0 18 406013 16 -6925465 0 0 71529
8410203 0 18 426140 16 -6924025 0 0 71530
8409760 0 18 446269 16 -6922585 0 0 71530
8408772 0 18 466398 16 -6921145 0 0 71535
8407811 0 18 486529 16 -6919705 0 0 71533
