ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8403178 8390462 786 766180 0 1 0 0 -101739
8401908 8390114 786 786309 0 28 0 0 -101605
8397653 8390134 786 806437 0 103 0 0 -101232
8396150 8390422 786 826565 0 226 0 0 -100621
8396146 8390672 786 846695 0 395 0 0 -99781
8396273 8390715 786 866824 0 612 0 0 -98703
8396117 8390459 786 886952 0 876 0 0 -97392
8396301 8390343 786 907082 0 1187 0 0 -95847
8396103 8390611 786 927210 0 1545 0 0 -94068
8396963 8390860 786 947340 16 1937 0 0 -92121
8398319 8391001 786 967467 16 2330 0 0 11571
8399557 8391047 786 987598 16 2723 0 0 13389
8400589 8391051 787 7727 16 3116 0 0 14968
8401267 8391004 787 27854 16 3509 0 0 16310
8401716 8390987 787 47983 16 3903 0 0 17428
8401970 8390954 787 68112 16 4296 0 0 18302
8402189 8390932 787 88241 16 4689 0 0 18943
8402494 8390883 787 108369 16 5082 0 0 19350
8402645 8390855 787 128500 16 5475 0 0 19524
8402703 8390838 787 148628 16 5868 0 0 19529
8402781 8390830 787 168756 16 6261 0 0 19529
8402805 8390816 787 188885 16 6655 0 0 19534
8402882 8390799 787 209017 16 7048 0 0 19534
8402832 8390815 787 229145 16 7441 0 0 19534
8402807 8390816 787 249274 16 7834 0 0 19529
8402791 8390831 787 269403 16 8227 0 0 19529
8402718 8390837 787 289531 16 8620 0 0 19529
8402726 8390846 787 309662 16 9013 0 0 19529
8402671 8390856 787 329790 16 9407 0 0 19534
8402553 8390872 787 349918 16 9800 0 0 19534
8402467 8390880 787 370046 16 10193 0 0 19534
8402356 8390898 787 390177 16 10586 0 0 19529
8402341 8390897 787 410305 16 10979 0 0 19529
8402341 8390905 787 430434 16 11372 0 0 19529
8402243 8390901 787 450563 16 11766 0 0 19534
8402130 8390929 787 470691 16 12159 0 0 19534
8401992 8390941 787 490822 16 12552 0 0 19534
8402033 8390936 787 510950 16 12945 0 0 19534
8402021 8390956 787 531078 16 13338 0 0 19529
8401823 8390966 787 551207 16 13731 0 0 19529
8401641 8390991 787 571340 16 14124 0 0 19529
8401527 8390997 787 591468 16 14517 0 0 19529
8401490 8391003 787 611596 16 14911 0 0 19534
8401432 8391010 787 631727 16 15304 0 0 19534
8401369 8391011 787 651855 16 15697 0 0 19529
8401308 8391015 787 671984 16 16090 0 0 19529
8401264 8391020 787 692112 16 16483 0 0 19529
8401239 8391018 787 712243 16 16876 0 0 19529
8401238 8391018 787 732371 16 17270 0 0 19534
8401155 8391025 787 752498 16 17663 0 0 19534
8401049 8391026 787 772628 16 18056 0 0 19534
8401050 8391032 787 792758 16 18449 0 0 19534
8401009 8391028 787 812884 16 18842 0 0 19529
8400875 8391037 787 833015 16 19235 0 0 19529
8400750 8391039 787 853144 16 19628 0 0 19529
8400741 8391041 787 873272 16 20022 0 0 19534
8400606 8391047 787 893401 16 20415 0 0 19534
8400511 8391048 787 913529 16 20808 0 0 19534
8400370 8391043 787 933658 16 21201 0 0 19529
8400370 8391053 787 953788 16 21594 0 0 19529
8400437 8391036 787 973917 16 21987 0 0 19529
8400407 8391050 787 994045 16 22380 0 0 19529
8401097 8391020 788 14174 16 22774 0 0 19534
8399793 8391037 788 34306 16 23167 0 0 19534
8397663 8390938 788 54434 16 23560 0 0 19534
8396284 8390477 788 74563 16 23953 0 0 19529
8400385 8390101 788 94691 16 24346 0 0 19529
8399377 8390899 788 114822 16 24739 0 0 19529
8398592 8390214 788 134950 16 25132 0 0 19529
8402331 8390458 788 155079 16 25526 0 0 19534
8397302 8390995 788 175207 16 25919 0 0 19534
8398192 8390357 788 195337 16 26312 0 0 19534
8402715 8390110 788 215465 16 26705 0 0 19529
8400075 8390760 788 235594 16 27098 0 0 19529
8396382 8391002 788 255725 16 27491 0 0 19529
8397931 8390544 788 275851 16 27885 0 0 19534
8400695 8390172 788 295982 16 28278 0 0 19534
8402495 8390018 788 316110 16 28671 0 0 19534
8403158 8390010 788 336239 16 29064 0 0 19534
8402859 8390131 788 356368 16 29457 0 0 19529
8401676 8390358 788 376498 16 29850 0 0 19529
8398808 8390766 788 396627 16 30243 0 0 19529
8396305 8391016 788 416757 16 30636 0 0 19529
8399780 8390461 788 436885 16 31030 0 0 19534
8403008 8390010 788 457016 16 31423 0 0 19534
8403080 8390003 788 477145 16 31816 0 0 19529
8403012 8390000 788 497273 16 32209 0 0 19529
8402592 8390064 788 517402 16 32602 0 0 19529
8401491 8390219 788 537530 16 32995 0 0 19529
8400189 8390401 788 557659 16 33388 0 0 19529
8398853 8390595 788 577789 16 33782 0 0 19534
8397380 8390812 788 597917 16 34175 0 0 19534
8396195 8391011 788 618046 16 34568 0 0 19534
8396093 8391068 788 638174 16 34961 0 0 19529
8396616 8391026 788 658303 16 35354 0 0 19529
8397533 8390926 788 678431 16 35747 0 0 19529
8399154 8390725 788 698560 16 36140 0 0 19529
8400970 8390470 788 718691 16 36534 0 0 19534
8402300 8390265 788 738818 16 36927 0 0 19534
8402997 8390114 788 758949 16 37320 0 0 19534
8403173 8390007 788 779077 16 37713 0 0 19529
8402530 8390002 788 799205 16 38106 0 0 19529
8401386 8390091 788 819334 16 38499 0 0 19529
8400007 8390259 788 839466 16 38892 0 0 19529
8398609 8390442 788 859594 16 39286 0 0 19534
8397313 8390653 788 879724 16 39679 0 0 19534
8396253 8390877 788 899853 16 40072 0 0 19534
8395971 8391013 788 919982 16 40465 0 0 19529
8396399 8391074 788 940110 16 40858 0 0 19529
8397409 8391042 788 960239 16 41251 0 0 19529
8398911 8390897 788 980367 16 41644 0 0 19529
8400579 8390717 789 497 16 42038 0 0 19534
8402039 8390482 789 20626 16 42431 0 0 19534
8402951 8390272 789 40753 16 42824 0 0 19534
8403224 8390125 789 60882 16 43217 0 0 19529
8402999 8390016 789 81012 16 43610 0 0 19529
8402207 8389977 789 101141 16 44003 0 0 19529
8401008 8390028 789 121270 16 44397 0 0 19534
8399410 8390158 789 141398 16 44790 0 0 19534
8398099 8390325 789 161529 16 45183 0 0 19534
8397079 8390496 789 181659 16 45576 0 0 19534
8396156 8390734 789 201787 16 45969 0 0 19529
8395931 8390900 789 221916 16 46362 0 0 19529
8396358 8391021 789 242046 16 46755 0 0 19529
8397358 8391076 789 262175 16 47148 0 0 19529
8398323 8391032 789 282303 16 47542 0 0 19534
8399492 8390972 789 302432 16 47935 0 0 19534
8401093 8390799 789 322563 16 48328 0 0 19529
8402320 8390600 789 342692 16 48721 0 0 19529
8403073 8390386 789 362819 16 49114 0 0 19529
8403232 8390224 789 382948 16 49507 0 0 19529
8402843 8390073 789 403077 16 49901 0 0 19534
8401906 8389988 789 423205 16 50294 0 0 19534
8400585 8389978 789 443333 16 50687 0 0 19534
8399092 8390058 789 463462 16 51080 0 0 19534
8398033 8390161 789 483593 16 51473 0 0 19529
8396981 8390323 789 503723 16 51866 0 0 19529
8396132 8390562 789 523849 16 52259 0 0 19529
8395936 8390754 789 543978 16 52653 0 0 19534
8396438 8390946 789 564109 16 53046 0 0 19534
8397371 8391052 789 584237 16 53439 0 0 19534
8398476 8391072 789 604366 16 53832 0 0 19529
8399695 8391050 789 624494 16 54225 0 0 19529
8400830 8390980 789 644623 16 54618 0 0 19529
8402101 8390830 789 664754 16 55011 0 0 19529
8402897 8390664 789 684883 16 55405 0 0 19534
8403235 8390496 789 705011 16 55798 0 0 19534
8403160 8390312 789 725142 16 56191 0 0 19534
