ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8403847 8436634 3529 254665 8 20480 0 0 -33492818
8403928 8436918 3529 274793 0 9999999 0 0 16087463
8404010 8437115 3529 294922 0 9999972 0 0 16087329
8404049 8437590 3529 315051 0 9999897 0 0 16086957
8403777 8437998 3529 335180 0 9999774 0 0 16086346
8402932 8438267 3529 355309 0 9999605 0 0 16085506
8401540 8437964 3529 375436 0 9999388 0 0 16084428
8399570 8436891 3529 395564 0 9999124 0 0 16083116
8397142 8434784 3529 415696 0 9998813 0 0 16081571
8395422 8432402 3529 435822 0 9998455 0 0 16079793
8395286 8431254 3529 455952 16 9998063 0 0 49570663
8396473 8431809 3529 476083 16 9997670 0 0 -11570
8398465 8433840 3529 496209 16 9997277 0 0 -13389
8401111 8437206 3529 516339 16 9996884 0 0 -14969
8403170 8440131 3529 536468 16 9996491 0 0 -16310
8403983 8441294 3529 556599 16 9996098 0 0 -17423
8402952 8439790 3529 576728 16 9995704 0 0 -18302
8398424 8433848 3529 596857 16 9995311 0 0 -18943
8395413 8431339 3529 616984 16 9994918 0 0 -19350
8397209 8434683 3529 637113 16 9994525 0 0 -19524
8401483 8437909 3529 657243 16 9994132 0 0 -19529
8403099 8438262 3529 677372 16 9993739 0 0 -19529
8403858 8438008 3529 697500 16 9993345 0 0 -19534
8404055 8437609 3529 717629 16 9992952 0 0 -19534
8403994 8437091 3529 737758 16 9992559 0 0 -19534
8403779 8436661 3529 757888 16 9992166 0 0 -19534
8403513 8436332 3529 778015 16 9991773 0 0 -19529
8403211 8436027 3529 798145 16 9991380 0 0 -19529
8402814 8435729 3529 818274 16 9990987 0 0 -19529
8402405 8435474 3529 838403 16 9990593 0 0 -19534
8402042 8435274 3529 858533 16 9990200 0 0 -19534
8401751 8435187 3529 878660 16 9989807 0 0 -19534
8401447 8435047 3529 898789 16 9989414 0 0 -19529
8401103 8434946 3529 918921 16 9989021 0 0 -19529
8400767 8434877 3529 939050 16 9988628 0 0 -19529
8400606 8434813 3529 959180 16 9988235 0 0 -19529
8400495 8434834 3529 979307 16 9987841 0 0 -19534
8400297 8434793 3529 999437 16 9987448 0 0 -19534
8399952 8434712 3530 19566 16 9987055 0 0 -19534
8399810 8434686 3530 39696 16 9986662 0 0 -19529
8399728 8434673 3530 59825 16 9986269 0 0 -19529
8399540 8434676 3530 79954 16 9985876 0 0 -19529
8399229 8434635 3530 100082 16 9985483 0 0 -19529
8398693 8434609 3530 120212 16 9985089 0 0 -19534
8398114 8434609 3530 140339 16 9984696 0 0 -19534
8398112 8434547 3530 160468 16 9984303 0 0 -19534
8398052 8434596 3530 180595 16 9983910 0 0 -19529
8397944 8434592 3530 200727 16 9983517 0 0 -19529
8397825 8434612 3530 220855 16 9983124 0 0 -19529
8397725 8434563 3530 240984 16 9982731 0 0 -19529
8397729 8434532 3530 261113 16 9982337 0 0 -19534
8397576 8434631 3530 281242 16 9981944 0 0 -19534
8397453 8434653 3530 301369 16 9981551 0 0 -19534
8397201 8434648 3530 321500 16 9981158 0 0 -19529
8397098 8434604 3530 341629 16 9980765 0 0 -19529
8397067 8434620 3530 361758 16 9980372 0 0 -19529
8396873 8434662 3530 381885 16 9979978 0 0 -19534
8396805 8434686 3530 402016 16 9979585 0 0 -19534
8396750 8434723 3530 422145 16 9979192 0 0 -19534
8396535 8434703 3530 442274 16 9978799 0 0 -19534
8396434 8434728 3530 462401 16 9978406 0 0 -19529
8396333 8434755 3530 482531 16 9978013 0 0 -19529
8396119 8434808 3530 502660 16 9977620 0 0 -19529
8395951 8434802 3530 522789 16 9977226 0 0 -19534
8395942 8434811 3530 542919 16 9976833 0 0 -19534
8395922 8434825 3530 563046 16 9976440 0 0 -19534
8395864 8434845 3530 583176 16 9976047 0 0 -19529
8395790 8434847 3530 603305 16 9975654 0 0 -19529
8395754 8434858 3530 623435 16 9975261 0 0 -19529
8395765 8434897 3530 643562 16 9974868 0 0 -19529
8395705 8434901 3530 663692 16 9974474 0 0 -19534
8395661 8434870 3530 683821 16 9974081 0 0 -19534
8395575 8434895 3530 703951 16 9973688 0 0 -19534
8395600 8434897 3530 724083 16 9973295 0 0 -19529
8395928 8434877 3530 744210 16 9972902 0 0 -19529
8398875 8434934 3530 764339 16 9972509 0 0 -19529
8400926 8437129 3530 784468 16 9972116 0 0 -19529
8398195 8433600 3530 804599 16 9971723 0 0 -19529
8400591 8437246 3530 824729 16 9971329 0 0 -19534
8398963 8434770 3530 844857 16 9970936 0 0 -19534
8400541 8435915 3530 864983 16 9970543 0 0 -19529
8396860 8434454 3530 885113 16 9970150 0 0 -19529
8403009 8438099 3530 905242 16 9969757 0 0 -19529
8403138 8436763 3530 925373 16 9969364 0 0 -19529
8401672 8435852 3530 945499 16 9968970 0 0 -19534
8401751 8435848 3530 965629 16 9968577 0 0 -19534
8401318 8435684 3530 985756 16 9968184 0 0 -19534
8400857 8435466 3531 5885 16 9967791 0 0 -19534
8399916 8435095 3531 26014 16 9967398 0 0 -19530
8397738 8434261 3531 46144 16 9967005 0 0 -19529
8396412 8433684 3531 66272 16 9966612 0 0 -19529
8395517 8433252 3531 86401 16 9966218 0 0 -19534
8395210 8433071 3531 106530 16 9965825 0 0 -19534
8395070 8432917 3531 126660 16 9965432 0 0 -19534
8395351 8432809 3531 146789 16 9965039 0 0 -19529
8396153 8432938 3531 166917 16 9964646 0 0 -19529
8397508 8433540 3531 187046 16 9964253 0 0 -19529
8399458 8434515 3531 207175 16 9963860 0 0 -19529
8401005 8435557 3531 227305 16 9963466 0 0 -19534
8402548 8436858 3531 247434 16 9963073 0 0 -19534
8403628 8438164 3531 267562 16 9962680 0 0 -19534
8404024 8439043 3531 287691 16 9962287 0 0 -19529
8403844 8439814 3531 307820 16 9961894 0 0 -19529
8403422 8439844 3531 327950 16 9961501 0 0 -19529
8402477 8439627 3531 348077 16 9961108 0 0 -19529
8401121 8438761 3531 368207 16 9960714 0 0 -19534
8399761 8437593 3531 388337 16 9960321 0 0 -19534
8397980 8435659 3531 408466 16 9959928 0 0 -19534
8396650 8433825 3531 428593 16 9959535 0 0 -19529
8395694 8432264 3531 448725 16 9959142 0 0 -19529
8395093 8430790 3531 468852 16 9958749 0 0 -19529
8395034 8430189 3531 488982 16 9958356 0 0 -19529
8395399 8429819 3531 509109 16 9957962 0 0 -19534
8396210 8430156 3531 529239 16 9957569 0 0 -19534
8397012 8430771 3531 549371 16 9957176 0 0 -19534
8398371 8432130 3531 569498 16 9956783 0 0 -19529
8399346 8433233 3531 589629 16 9956390 0 0 -19529
8400316 8434580 3531 609758 16 9955997 0 0 -19529
8401208 8435830 3531 629887 16 9955604 0 0 -19529
8401602 8436440 3531 650016 16 9955210 0 0 -19534
8402272 8437505 3531 670145 16 9954817 0 0 -19534
8403093 8439043 3531 690274 16 9954424 0 0 -19534
8403747 8440479 3531 710403 16 9954031 0 0 -19529
8404081 8441655 3531 730530 16 9953638 0 0 -19529
8403896 8441922 3531 750659 16 9953245 0 0 -19529
8403204 8441485 3531 770788 16 9952852 0 0 -19529
8402183 8440335 3531 790916 16 9952458 0 0 -19534
8401103 8438956 3531 811045 16 9952065 0 0 -19534
8399626 8436836 3531 831175 16 9951672 0 0 -19534
8398530 8435118 3531 851302 16 9951279 0 0 -19529
8397371 8433271 3531 871432 16 9950886 0 0 -19529
8396273 8431362 3531 891561 16 9950493 0 0 -19529
8395606 8430098 3531 911691 16 9950100 0 0 -19529
8395099 8428991 3531 931820 16 9949706 0 0 -19534
8395056 8428614 3531 951947 16 9949313 0 0 -19534
8395356 8428926 3531 972077 16 9948920 0 0 -19534
8396012 8429770 3531 992207 16 9948527 0 0 -19529
8396781 8430831 3532 12334 16 9948134 0 0 -19529
8398161 8432851 3532 32464 16 9947741 0 0 -19529
8399498 8434854 3532 52594 16 9947348 0 0 -19529
8400514 8436405 3532 72723 16 9946954 0 0 -19534
8401702 8438188 3532 92852 16 9946561 0 0 -19534
8402498 8439372 3532 112979 16 9946168 0 0 -19534
8403358 8440634 3532 133109 16 9945775 0 0 -19529
8403862 8441331 3532 153239 16 9945382 0 0 -19529
8404088 8441660 3532 173368 16 9944989 0 0 -19529
8404002 8441494 3532 193495 16 9944596 0 0 -19529
8403701 8441019 3532 213625 16 9944202 0 0 -19534
8402992 8439966 3532 233755 16 9943809 0 0 -19534
8401865 8438284 3532 253884 16 9943416 0 0 -19534
8400929 8436992 3532 274011 16 9943023 0 0 -19529
8399806 8435519 3532 294141 16 9942630 0 0 -19529
8398755 8434164 3532 314271 16 9942237 0 0 -19529
8397648 8432831 3532 334398 16 9941843 0 0 -19534
8396513 8431592 3532 354530 16 9941450 0 0 -19534
8395925 8431085 3532 374660 16 9941057 0 0 -19534
8395277 8430653 3532 394789 16 9940664 0 0 -19534
8395023 8430702 3532 414918 16 9940271 0 0 -19529
8395108 8431159 3532 435046 16 9939878 0 0 -19529
8395550 8431977 3532 455176 16 9939485 0 0 -19529
8396263 8433017 3532 475305 16 9939091 0 0 -19534
8397065 8434025 3532 495433 16 9938698 0 0 -19534
8398261 8435343 3532 515562 16 9938305 0 0 -19534
8399109 8436241 3532 535691 16 9937912 0 0 -19529
8400431 8437442 3532 555820 16 9937519 0 0 -19529
8401470 8438259 3532 575949 16 9937126 0 0 -19529
8402265 8438806 3532 596076 16 9936733 0 0 -19529
8403225 8439281 3532 616205 16 9936339 0 0 -19534
8403700 8439421 3532 636336 16 9935946 0 0 -19534
8404047 8439264 3532 656462 16 9935553 0 0 -19534
8404089 8438893 3532 676592 16 9935160 0 0 -19529
8403856 8438345 3532 696723 16 9934767 0 0 -19529
8403360 8437697 3532 716852 16 9934374 0 0 -19529
8402760 8437019 3532 736981 16 9933981 0 0 -19529
8402105 8436411 3532 757107 16 9933587 0 0 -19534
8400729 8435291 3532 777237 16 9933194 0 0 -19534
8399999 8434801 3532 797366 16 9932801 0 0 -19534
8398777 8434034 3532 817497 16 9932408 0 0 -19529
8397905 8433505 3532 837626 16 9932015 0 0 -19529
8397053 8433011 3532 857754 16 9931622 0 0 -19529
8396183 8432552 3532 877881 16 9931229 0 0 -19529
8395745 8432360 3532 898011 16 9930835 0 0 -19534
8395382 8432177 3532 918141 16 9930442 0 0 -19534
8395044 8431986 3532 938268 16 9930049 0 0 -19534
8395012 8431951 3532 958397 16 9929656 0 0 -19529
8395267 8432084 3532 978527 16 9929263 0 0 -19529
8395724 8432341 3532 998656 16 9928870 0 0 -19529
8396313 8432645 3533 18786 16 9928477 0 0 -19529
8397392 8433208 3533 38915 16 9928083 0 0 -19534
8398208 8433635 3533 59042 16 9927690 0 0 -19534
8398901 8434040 3533 79172 16 9927297 0 0 -19534
8399605 8434503 3533 99301 16 9926904 0 0 -19529
8400558 8435135 3533 119431 16 9926511 0 0 -19529
8401916 8436241 3533 139558 16 9926118 0 0 -19529
8402900 8437183 3533 159690 16 9925725 0 0 -19529
8403438 8437874 3533 179819 16 9925331 0 0 -19534
8403868 8438625 3533 199949 16 9924938 0 0 -19534
8404080 8439260 3533 220078 16 9924545 0 0 -19534
8404119 8439972 3533 240207 16 9924152 0 0 -19529
8403955 8440468 3533 260334 16 9923759 0 0 -19529
8403746 8440698 3533 280464 16 9923366 0 0 -19529
8403116 8440981 3533 300594 16 9922973 0 0 -19529
8402205 8440884 3533 320725 16 9922579 0 0 -19534
8401144 8440514 3533 340850 16 9922186 0 0 -19534
8399970 8439733 3533 360981 16 9921793 0 0 -19534
8399115 8438977 3533 381108 16 9921400 0 0 -19529
8397854 8437500 3533 401238 16 9921007 0 0 -19529
8396997 8436249 3533 421366 16 9920614 0 0 -19529
8396356 8435125 3533 441495 16 9920221 0 0 -19529
8395844 8434038 3533 461622 16 9919827 0 0 -19534
8395339 8432563 3533 481753 16 9919434 0 0 -19534
8395012 8430707 3533 501882 16 9919041 0 0 -19534
8395096 8429460 3533 522011 16 9918648 0 0 -19529
8395339 8428932 3533 542140 16 9918255 0 0 -19529
8395873 8428458 3533 562267 16 9917862 0 0 -19529
8396508 8428355 3533 582398 16 9917469 0 0 -19529
8397410 8428713 3533 602527 16 9917075 0 0 -19534
8398249 8429293 3533 622654 16 9916682 0 0 -19534
8398887 8429913 3533 642783 16 9916289 0 0 -19534
8400181 8431445 3533 662912 16 9915896 0 0 -19529
8401065 8432785 3533 683042 16 9915503 0 0 -19529
8401917 8434308 3533 703172 16 9915110 0 0 -19529
8402659 8435879 3533 723299 16 9914717 0 0 -19529
8403164 8437144 3533 743429 16 9914323 0 0 -19534
8403744 8438951 3533 763558 16 9913930 0 0 -19534
8403973 8439890 3533 783688 16 9913537 0 0 -19534
8404106 8440860 3533 803817 16 9913144 0 0 -19529
8404077 8441850 3533 823944 16 9912751 0 0 -19529
8403910 8442153 3533 844074 16 9912358 0 0 -19529
8403444 8442472 3533 864203 16 9911964 0 0 -19534
8402958 8442333 3533 884333 16 9911571 0 0 -19534
8402354 8441880 3533 904461 16 9911178 0 0 -19534
