ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8433233 8520120 3267 113582 8 34640 0 0 -32167076
8434435 8521008 3267 133712 0 9999999 0 0 17337937
8443032 8526083 3267 153840 0 9999972 0 0 17337803
8438350 8519390 3267 173972 0 9999896 0 0 17337425
8404154 8503045 3267 194101 0 9999774 0 0 17336819
8429163 8519956 3267 214230 0 9999604 0 0 17335975
8418869 8507673 3267 234359 0 9999387 0 0 17334897
8407853 8521127 3267 254486 0 9999123 0 0 17333585
8408692 8524441 3267 274617 0 9998812 0 0 17332040
8410302 8524953 3267 294746 0 9998453 0 0 17330256
8411954 8524842 3267 314875 0 9998048 0 0 49495320
8419653 8523725 3267 335005 0 9997595 0 0 -11943
8428013 8521866 3267 355131 0 9997095 0 0 -14293
8429914 8521263 3267 375262 0 9996548 0 0 -16633
8427350 8522244 3267 395391 0 9995954 0 0 -18977
8419860 8523983 3267 415517 16 9995312 0 0 -21323
8415186 8524469 3267 435647 16 9994647 0 0 -23548
8412212 8524495 3267 455776 16 9993982 0 0 -25540
8414938 8524376 3267 475903 16 9993317 0 0 -27300
8432632 8519552 3267 496036 16 9992652 0 0 -28819
8447856 8506850 3267 516162 16 9991987 0 0 -30111
8447132 8501327 3267 536292 16 9991322 0 0 -31164
8445191 8500551 3267 556421 16 9990657 0 0 -31984
8443139 8500604 3267 576548 16 9989992 0 0 -32570
8435256 8501923 3267 596678 16 9989328 0 0 -32918
8429307 8503659 3267 616808 16 9988663 0 0 -33032
8430037 8503414 3267 636937 16 9987998 0 0 -33032
8434997 8501821 3267 657066 16 9987333 0 0 -33032
8439502 8500755 3267 677194 16 9986668 0 0 -33032
8434456 8502201 3267 697323 16 9986003 0 0 -33032
8417232 8509349 3267 717453 16 9985338 0 0 -33032
8405553 8515946 3267 737581 16 9984673 0 0 -33032
8399992 8519666 3267 757710 16 9984008 0 0 -33032
8396330 8522600 3267 777840 16 9983343 0 0 -33032
8394511 8524559 3267 797970 16 9982678 0 0 -33037
8394023 8525935 3267 818096 16 9982013 0 0 -33037
8395690 8526126 3267 838225 16 9981348 0 0 -33037
8399698 8524642 3267 858355 16 9980683 0 0 -33037
8404313 8522536 3267 878486 16 9980018 0 0 -33037
8412267 8518556 3267 898615 16 9979353 0 0 -33037
8420739 8514270 3267 918742 16 9978688 0 0 -33037
8428703 8510029 3267 938871 16 9978023 0 0 -33037
8437397 8505094 3267 959006 16 9977358 0 0 -33036
8443977 8501670 3267 979132 16 9976693 0 0 -33037
8448443 8499384 3267 999260 16 9976028 0 0 -33037
8450389 8499015 3268 19389 16 9975363 0 0 -33036
8449371 8500626 3268 39519 16 9974698 0 0 -33036
8445215 8503884 3268 59649 16 9974033 0 0 -33036
8438804 8508566 3268 79776 16 9973368 0 0 -33037
8431368 8513598 3268 99906 16 9972703 0 0 -33037
8421262 8519463 3268 120038 16 9972038 0 0 -33036
8411423 8524048 3268 140164 16 9971373 0 0 -33036
8403896 8526583 3268 160292 16 9970708 0 0 -33038
8397472 8527284 3268 180421 16 9970043 0 0 -33037
8394332 8525643 3268 200551 16 9969378 0 0 -33037
8394372 8522567 3268 220679 16 9968713 0 0 -33037
8397514 8517762 3268 240808 16 9968049 0 0 -33032
8402310 8513355 3268 260934 16 9967384 0 0 -33033
8408982 8509008 3268 281063 16 9966719 0 0 -33032
8418508 8504107 3268 301193 16 9966054 0 0 -33032
8427675 8501044 3268 321324 16 9965389 0 0 -33033
8435380 8499533 3268 341453 16 9964724 0 0 -33032
8442237 8499420 3268 361580 16 9964059 0 0 -33032
8446793 8501102 3268 381710 16 9963394 0 0 -33032
8449701 8503882 3268 401837 16 9962729 0 0 -33033
8450029 8508343 3268 421967 16 9962064 0 0 -33032
8447605 8513041 3268 442096 16 9961399 0 0 -33037
8443147 8517559 3268 462226 16 9960734 0 0 -33037
8436158 8521369 3268 482355 16 9960069 0 0 -33037
8427597 8523973 3268 502483 16 9959404 0 0 -33037
8418274 8524976 3268 522612 16 9958739 0 0 -33037
8409617 8523694 3268 542742 16 9958074 0 0 -33037
8401951 8521283 3268 562871 16 9957409 0 0 -33037
8396329 8517115 3268 583001 16 9956744 0 0 -33037
8394193 8513111 3268 603129 16 9956079 0 0 -33037
8394260 8509644 3268 623258 16 9955414 0 0 -33037
8396410 8506336 3268 643387 16 9954749 0 0 -33037
8400332 8503677 3268 663516 16 9954084 0 0 -33037
8404748 8502223 3268 683643 16 9953419 0 0 -33037
8412013 8501539 3268 703774 16 9952754 0 0 -33037
8420930 8502284 3268 723903 16 9952089 0 0 -33037
8430155 8504869 3268 744033 16 9951424 0 0 -33037
8439426 8509079 3268 764161 16 9950759 0 0 -33037
8444939 8513240 3268 784294 16 9950094 0 0 -33037
8448018 8516427 3268 804420 16 9949429 0 0 -33037
8449960 8519682 3268 824550 16 9948764 0 0 -33037
8449980 8522768 3268 844679 16 9948100 0 0 -33031
8446652 8524768 3268 864810 16 9947435 0 0 -33031
8442128 8525026 3268 884936 16 9946769 0 0 -33036
8436764 8523987 3268 905065 16 9946104 0 0 -33037
8429763 8521705 3268 925195 16 9945440 0 0 -33032
8420860 8517769 3268 945324 16 9944775 0 0 -33032
8412352 8513224 3268 965452 16 9944110 0 0 -33032
8405243 8509170 3268 985582 16 9943445 0 0 -33032
8399497 8505098 3269 5711 16 9942780 0 0 -33032
8395693 8501934 3269 25839 16 9942115 0 0 -33032
8394000 8499778 3269 45967 16 9941450 0 0 -33037
8395555 8499445 3269 66096 16 9940785 0 0 -33038
8399486 8500792 3269 86225 16 9940120 0 0 -33032
8405113 8503702 3269 106352 16 9939455 0 0 -33032
8410504 8506661 3269 126483 16 9938790 0 0 -33037
8415707 8509714 3269 146612 16 9938125 0 0 -33037
8424886 8515219 3269 166739 16 9937460 0 0 -33037
8433879 8520469 3269 186869 16 9936795 0 0 -33037
8441205 8524555 3269 206998 16 9936130 0 0 -33037
8445358 8526824 3269 227127 16 9935465 0 0 -33037
8448568 8528132 3269 247257 16 9934800 0 0 -33037
8450363 8528192 3269 267384 16 9934135 0 0 -33037
8449655 8526651 3269 287514 16 9933470 0 0 -33037
8446861 8523435 3269 307644 16 9932805 0 0 -33037
8441388 8518721 3269 327773 16 9932140 0 0 -33037
8435510 8514336 3269 347901 16 9931475 0 0 -33037
8428946 8509790 3269 368032 16 9930810 0 0 -33036
8420891 8505063 3269 388159 16 9930145 0 0 -33037
8412932 8501161 3269 408289 16 9929480 0 0 -33037
8406793 8498679 3269 428416 16 9928815 0 0 -33037
8400685 8497176 3269 448546 16 9928150 0 0 -33037
8396891 8497333 3269 468676 16 9927485 0 0 -33037
8394513 8498745 3269 488805 16 9926820 0 0 -33037
8394116 8502118 3269 508933 16 9926156 0 0 -33032
8395683 8505778 3269 529062 16 9925491 0 0 -33032
8399323 8510203 3269 549191 16 9924826 0 0 -33032
8405207 8515412 3269 569321 16 9924161 0 0 -33032
8411279 8519921 3269 589453 16 9923496 0 0 -33031
8417137 8523136 3269 609580 16 9922831 0 0 -33032
8423201 8525731 3269 629709 16 9922166 0 0 -33031
8429098 8527582 3269 649838 16 9921501 0 0 -33032
8435784 8528491 3269 669969 16 9920836 0 0 -33032
8442946 8527769 3269 690098 16 9920171 0 0 -33032
8447445 8525708 3269 710227 16 9919506 0 0 -33036
8449997 8521798 3269 730354 16 9918841 0 0 -33036
8450170 8518303 3269 750485 16 9918176 0 0 -33036
8448887 8514568 3269 770611 16 9917511 0 0 -33037
8444791 8508977 3269 790740 16 9916846 0 0 -33037
8437977 8503708 3269 810870 16 9916181 0 0 -33037
8431439 8500728 3269 831001 16 9915516 0 0 -33037
8423779 8498721 3269 851127 16 9914851 0 0 -33037
8417308 8498321 3269 871256 16 9914186 0 0 -33037
8410084 8499208 3269 891384 16 9913521 0 0 -33038
8403036 8501765 3269 911513 16 9912856 0 0 -33038
8398397 8505064 3269 931642 16 9912191 0 0 -33037
8395356 8508809 3269 951772 16 9911526 0 0 -33037
8394045 8512353 3269 971900 16 9910861 0 0 -33037
8394156 8516237 3269 992031 16 9910196 0 0 -33037
8396436 8521197 3270 12158 16 9909531 0 0 -33037
8400769 8524689 3270 32288 16 9908866 0 0 -33037
8406725 8526659 3270 52417 16 9908202 0 0 -33032
8415083 8527355 3270 72545 16 9907537 0 0 -33032
8422844 8526191 3270 92674 16 9906872 0 0 -33032
8430510 8523844 3270 112804 16 9906207 0 0 -33032
8437217 8520413 3270 132933 16 9905542 0 0 -33032
8443408 8515712 3270 153060 16 9904877 0 0 -33032
8447580 8511155 3270 173190 16 9904212 0 0 -33032
8449850 8506611 3270 193319 16 9903547 0 0 -33032
8449896 8502881 3270 213449 16 9902882 0 0 -33032
8448288 8500187 3270 233577 16 9902217 0 0 -33032
8445143 8498748 3270 253707 16 9901552 0 0 -33037
8441044 8498456 3270 273836 16 9900887 0 0 -33037
8435501 8499358 3270 293964 16 9900222 0 0 -33037
8428731 8501603 3270 314093 16 9899557 0 0 -33037
8422239 8504599 3270 334223 16 9898892 0 0 -33037
8416574 8507909 3270 354352 16 9898227 0 0 -33037
8410052 8512410 3270 374480 16 9897562 0 0 -33037
8403421 8517570 3270 394609 16 9896897 0 0 -33037
8398234 8522341 3270 414741 16 9896232 0 0 -33037
8394959 8526344 3270 434870 16 9895567 0 0 -33037
8393887 8528510 3270 454999 16 9894902 0 0 -33037
8394131 8529837 3270 475128 16 9894237 0 0 -33037
8396378 8529959 3270 495257 16 9893572 0 0 -33036
8399597 8528770 3270 515387 16 9892907 0 0 -33036
8405676 8525675 3270 535515 16 9892242 0 0 -33037
8413147 8521276 3270 555644 16 9891577 0 0 -33037
8419560 8517146 3270 575774 16 9890912 0 0 -33036
8426254 8512356 3270 595902 16 9890247 0 0 -33037
8433125 8507409 3270 616032 16 9889582 0 0 -33037
8439350 8502604 3270 636160 16 9888917 0 0 -33037
8444918 8498274 3270 656286 16 9888252 0 0 -33037
8447411 8496398 3270 676416 16 9887587 0 0 -33037
8449138 8495109 3270 696543 16 9886923 0 0 -33033
8449938 8494637 3270 716673 16 9886258 0 0 -33033
8449285 8495413 3270 736803 16 9885593 0 0 -33032
8446722 8497759 3270 756930 16 9884928 0 0 -33033
8442262 8501844 3270 777059 16 9884263 0 0 -33033
8436415 8507200 3270 797189 16 9883598 0 0 -33032
8430502 8511892 3270 817319 16 9882933 0 0 -33032
