ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8404419 8499454 80 565964 8 65536 0 0 69203435
8403260 8498815 80 586094 0 -19999999 0 0 -30481274
8398598 8496897 80 606222 0 -19999971 0 0 -30481134
8395390 8497104 80 626351 0 -19999896 0 0 -30480762
8396034 8499219 80 646484 0 -19999773 0 0 -30480151
8396028 8498942 80 666611 0 -19999603 0 0 -30479306
8398705 8497321 80 686741 0 -19999386 0 0 -30478228
8417144 8507577 80 706868 0 -19999122 0 0 -30476917
8427894 8514215 80 727001 0 -19998811 0 0 -30475372
8435593 8519255 80 747126 0 -19998452 0 0 -30473588
8431868 8515263 80 767257 0 -19998047 0 0 -99675011
8410511 8502584 80 787385 0 -19997594 0 0 11948
8400618 8500237 80 807514 0 -19997094 0 0 14293
8397588 8505356 80 827642 0 -19996547 0 0 16638
8401141 8510377 80 847772 0 -19995953 0 0 18978
8409393 8515428 80 867902 0 -19995311 0 0 21322
8413113 8517436 80 888030 4 -19994622 0 0 23668
8431989 8513216 80 908157 4 -19993886 0 0 26013
8411687 8512399 80 928286 4 -19993104 0 0 28353
8422014 8508645 80 948414 4 -19992273 0 0 30697
8401777 8519948 80 968544 4 -19991396 0 0 33042
8410105 8518387 80 988672 4 -19990472 0 0 35382
8419761 8513885 81 8803 0 -19989510 0 0 37677
8427386 8509964 81 28932 0 -19988535 0 0 39803
8438341 8503603 81 49059 0 -19987549 0 0 41751
8442080 8500453 81 69188 0 -19986551 0 0 43520
8431489 8505741 81 89319 0 -19985541 0 0 45114
8412491 8515169 81 109447 0 -19984519 0 0 46535
8398422 8519735 81 129576 0 -19983485 0 0 47787
8401622 8514581 81 149705 0 -19982440 0 0 48850
8419631 8505697 81 169833 0 -19981383 0 0 49744
8437296 8503119 81 189964 0 -19980314 0 0 50464
8441000 8509798 81 210093 4 -19979233 0 0 51056
8425757 8518065 81 230221 4 -19978141 0 0 51637
8405394 8517279 81 250350 0 -19977036 0 0 52228
8397392 8509546 81 270478 0 -19975920 0 0 52814
8406230 8502837 81 290607 0 -19974793 0 0 53396
8422232 8503015 81 310738 0 -19973653 0 0 53982
8437943 8510905 81 330867 0 -19972501 0 0 54568
8441520 8518640 81 350994 0 -19971338 0 0 55155
8432986 8520909 81 371124 0 -19970163 0 0 55740
8419346 8517464 81 391252 0 -19968976 0 0 56327
8405522 8510445 81 411382 0 -19967778 0 0 56908
8397347 8504722 81 431511 0 -19966567 0 0 57499
8396070 8501219 81 451639 0 -19965345 0 0 58081
8397211 8500641 81 471772 0 -19964111 0 0 58666
8395919 8500846 81 491900 0 -19962865 0 0 59257
8396117 8503128 81 512030 16 -19961609 0 0 59833
8402547 8508800 81 532157 16 -19960351 0 0 60361
8412216 8514900 81 552286 16 -19959092 0 0 60837
8420282 8518036 81 572415 16 -19957835 0 0 61245
8427436 8520497 81 592545 16 -19956576 0 0 61602
8431133 8520965 81 612674 16 -19955318 0 0 61900
8433605 8521335 81 632803 16 -19954060 0 0 62134
8429308 8518841 81 652932 16 -19952802 0 0 62312
8431234 8515520 81 673059 16 -19951544 0 0 62433
8441339 8519892 81 693190 16 -19950286 0 0 62492
8432238 8514922 81 713318 16 -19949028 0 0 62503
8415446 8506222 81 733446 16 -19947770 0 0 62502
8401212 8501746 81 753576 16 -19946512 0 0 62497
8396232 8503270 81 773705 16 -19945254 0 0 62502
8403049 8510083 81 793832 16 -19943996 0 0 62498
8419522 8518124 81 813961 16 -19942738 0 0 62498
8434189 8520542 81 834091 16 -19941480 0 0 62498
8442182 8517518 81 854219 16 -19940222 0 0 62498
8441309 8510981 81 874348 16 -19938964 0 0 62497
8431826 8504876 81 894478 16 -19937706 0 0 62498
8415997 8501856 81 914608 16 -19936448 0 0 62497
8402754 8504391 81 934736 16 -19935190 0 0 62497
8396746 8510025 81 954865 16 -19933931 0 0 62502
8396563 8515819 81 974994 16 -19932673 0 0 62502
8403569 8520694 81 995123 16 -19931415 0 0 62502
8416614 8521110 82 15253 16 -19930157 0 0 62502
8430804 8516599 82 35381 16 -19928899 0 0 62502
8439758 8509921 82 55511 16 -19927641 0 0 62501
8442899 8503201 82 75637 16 -19926383 0 0 62502
8438140 8499007 82 95767 16 -19925125 0 0 62502
8429501 8499367 82 115896 16 -19923867 0 0 62502
8419066 8503618 82 136027 16 -19922609 0 0 62502
8407396 8510242 82 156154 16 -19921350 0 0 62502
8398695 8517803 82 176283 16 -19920093 0 0 62497
8395846 8523382 82 196412 16 -19918835 0 0 62497
8398903 8524132 82 216541 16 -19917577 0 0 62497
8406890 8521011 82 236671 16 -19916318 0 0 62502
8419794 8514767 82 256799 16 -19915060 0 0 62502
8431288 8506657 82 276932 16 -19913802 0 0 62501
8439430 8501301 82 297060 16 -19912544 0 0 62501
8443010 8498227 82 317188 16 -19911286 0 0 62501
8439912 8499536 82 337317 16 -19910028 0 0 62502
8431691 8504677 82 357446 16 -19908770 0 0 62496
8420230 8512356 82 377575 16 -19907512 0 0 62501
8410108 8517608 82 397705 16 -19906254 0 0 62501
8401316 8522007 82 417833 16 -19904996 0 0 62501
8396164 8522794 82 437962 16 -19903738 0 0 62496
8396347 8519993 82 458091 16 -19902480 0 0 62496
8402520 8514363 82 478220 16 -19901222 0 0 62497
8412653 8507440 82 498350 16 -19899964 0 0 62497
8423900 8502241 82 518476 16 -19898706 0 0 62498
8433315 8500058 82 538606 16 -19897448 0 0 62498
8440746 8501119 82 558735 16 -19896190 0 0 62497
8443382 8504238 82 578864 16 -19894932 0 0 62497
8441092 8510578 82 598993 16 -19893673 0 0 62502
8434997 8515800 82 619121 16 -19892415 0 0 62502
8425507 8520672 82 639251 16 -19891157 0 0 62502
8413726 8522639 82 659380 16 -19889899 0 0 62502
8405293 8521470 82 679509 16 -19888641 0 0 62502
8399072 8517801 82 699638 16 -19887383 0 0 62502
8395802 8512493 82 719768 16 -19886125 0 0 62502
8397153 8505111 82 739896 16 -19884867 0 0 62502
8402640 8500441 82 760027 16 -19883609 0 0 62501
8410870 8497645 82 780153 16 -19882351 0 0 62502
8418916 8497472 82 800283 16 -19881093 0 0 62497
8430478 8501692 82 820413 16 -19879835 0 0 62497
8439166 8508141 82 840541 16 -19878577 0 0 62497
8443048 8514344 82 860671 16 -19877318 0 0 62502
8442818 8520853 82 880800 16 -19876061 0 0 62497
8437923 8525427 82 900930 16 -19874802 0 0 62502
8429533 8526143 82 921058 16 -19873544 0 0 62502
8418997 8523731 82 941186 16 -19872286 0 0 62502
8411182 8518737 82 961315 16 -19871028 0 0 62502
8403932 8513228 82 981445 16 -19869770 0 0 62501
8397168 8503865 83 1571 16 -19868512 0 0 62502
8396518 8496941 83 21701 16 -19867254 0 0 62502
8400384 8495023 83 41831 16 -19865996 0 0 62502
8407444 8496369 83 61959 16 -19864738 0 0 62498
8415958 8499710 83 82093 16 -19863480 0 0 62501
8425291 8506453 83 102220 16 -19862222 0 0 62497
8434000 8512440 83 122348 16 -19860964 0 0 62497
8440924 8520198 83 142477 16 -19859706 0 0 62497
8443481 8523910 83 162606 16 -19858448 0 0 62497
8442183 8525566 83 182737 16 -19857190 0 0 62497
8436341 8523817 83 202866 16 -19855931 0 0 62501
8426080 8518359 83 222994 16 -19854673 0 0 62501
8416988 8511800 83 243122 16 -19853415 0 0 62501
8408265 8506840 83 263251 16 -19852157 0 0 62501
