ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8442950 8506866 613 933045 0 9999999 0 0 49292232
8437335 8499871 613 953173 0 9999971 0 0 49292093
8409857 8515215 613 973303 0 9999896 0 0 49291721
8414995 8522183 613 993431 0 9999773 0 0 49291110
8440720 8498799 614 13559 0 9999604 0 0 49290270
8435303 8506593 614 33689 0 9999387 0 0 49289192
8416945 8525228 614 53817 0 9999122 0 0 49287875
8417763 8524657 614 73947 0 9998811 0 0 49286331
8419768 8523330 614 94074 0 9998453 0 0 49284552
8426481 8517252 614 114204 0 9998047 0 0 49282535
8429608 8514649 614 134332 0 9997594 0 0 -11948
8433286 8511292 614 154463 0 9997094 0 0 -14293
8442317 8501998 614 174591 0 9996547 0 0 -16638
8444244 8500850 614 194719 0 9995953 0 0 -18978
8439597 8503362 614 214849 0 9995311 0 0 -21327
8429815 8510190 614 234977 4 9994623 0 0 -23668
8420299 8518749 614 255107 4 9993887 0 0 -26007
8417203 8521118 614 275235 4 9993104 0 0 -28352
8413037 8524459 614 295366 4 9992274 0 0 -30697
8405080 8530610 614 315493 4 9991396 0 0 -33042
8396519 8534415 614 335624 4 9990472 0 0 -35381
8398830 8528705 614 355752 4 9989510 0 0 -37677
8409167 8518504 614 375882 4 9988535 0 0 -39803
8424829 8507644 614 396011 4 9987549 0 0 -41750
8438537 8501740 614 416139 4 9986551 0 0 -43519
8446930 8500853 614 436267 0 9985541 0 0 -45119
8450591 8504487 614 456398 0 9984519 0 0 -46540
8448260 8513528 614 476526 4 9983486 0 0 -47782
8438216 8523588 614 496654 0 9982440 0 0 -48855
8424765 8529904 614 516785 0 9981383 0 0 -49744
8406722 8530129 614 536914 0 9980314 0 0 -50465
8396756 8521057 614 557048 0 9979233 0 0 -51054
8399342 8509455 614 577175 0 9978141 0 0 -51636
8412924 8501248 614 597303 0 9977037 0 0 -52223
8431326 8502045 614 617431 0 9975921 0 0 -52809
8444587 8511662 614 637562 0 9974793 0 0 -53395
8449256 8525642 614 657690 0 9973653 0 0 -53982
8442636 8534351 614 677819 0 9972502 0 0 -54567
8429058 8535226 614 697947 0 9971338 0 0 -55153
8411927 8526723 614 718077 0 9970163 0 0 -55740
8399385 8512841 614 738205 0 9968976 0 0 -56326
8395810 8502850 614 758333 0 9967778 0 0 -56909
8403090 8498354 614 778463 0 9966567 0 0 -57499
8417701 8504456 614 798591 0 9965345 0 0 -58086
8432106 8514918 614 818719 0 9964111 0 0 -58672
8443314 8528334 614 838847 0 9962865 0 0 -59259
8445041 8534344 614 858977 0 9961608 0 0 -59840
8437593 8531412 614 879107 0 9960338 0 0 -60431
8424468 8523293 614 899235 0 9959057 0 0 -61012
8409439 8511496 614 919365 0 9957764 0 0 -61598
8398446 8503500 614 939493 0 9956460 0 0 -62180
8395208 8502284 614 959621 0 9955143 0 0 -62771
8400915 8508764 614 979752 0 9953815 0 0 -63352
8412394 8518820 614 999879 0 9952475 0 0 -63938
8426093 8527840 615 20012 0 9951123 0 0 -64523
8437560 8531123 615 40138 0 9949759 0 0 -65110
8441784 8526221 615 60268 0 9948383 0 0 -65701
8436160 8516467 615 80396 0 9946996 0 0 -66283
8423174 8506550 615 100526 0 9945597 0 0 -66868
8408054 8502107 615 120655 0 9944186 0 0 -67455
8397495 8506031 615 140783 0 9942763 0 0 -68046
8394685 8515781 615 160911 16 9941328 0 0 -68632
8399324 8525411 615 181036 16 9939889 0 0 -69186
8410978 8532105 615 201170 16 9938449 0 0 -69680
8425266 8531779 615 221299 16 9937009 0 0 -70119
8437156 8524848 615 241429 16 9935569 0 0 -70495
8442913 8514818 615 261558 16 9934129 0 0 -70813
8441338 8504767 615 281685 16 9932689 0 0 -71077
8431964 8499655 615 301815 16 9931249 0 0 -71281
8419521 8501548 615 321946 16 9929809 0 0 -71424
8406787 8509179 615 342075 16 9928370 0 0 -71503
8397261 8520666 615 362204 16 9926930 0 0 -71528
8395477 8530238 615 382334 16 9925490 0 0 -71531
8401653 8533708 615 402464 16 9924050 0 0 -71533
8414510 8529986 615 422594 16 9922610 0 0 -71532
8429588 8521190 615 442721 16 9921170 0 0 -71533
8442033 8510487 615 462850 16 9919730 0 0 -71533
8448359 8502725 615 482979 16 9918290 0 0 -71532
8446614 8500747 615 503107 16 9916850 0 0 -71533
8437393 8505099 615 523237 16 9915411 0 0 -71528
8423476 8514123 615 543359 16 9913971 0 0 -71536
8408488 8524596 615 563494 16 9912531 0 0 -71533
8398070 8531336 615 583623 16 9911091 0 0 -71534
8395522 8531896 615 603750 16 9909651 0 0 -71535
8400429 8527039 615 623880 16 9908211 0 0 -71535
8412809 8517016 615 644009 16 9906771 0 0 -71534
8427666 8507134 615 664136 16 9905331 0 0 -71535
8439097 8501889 615 684266 16 9903892 0 0 -71530
8447829 8500987 615 704395 16 9902452 0 0 -71529
8450153 8506128 615 724525 16 9901012 0 0 -71534
8444230 8515798 615 744652 16 9899572 0 0 -71532
8433740 8524535 615 764782 16 9898132 0 0 -71534
8419313 8531184 615 784911 16 9896692 0 0 -71534
8405577 8532881 615 805042 16 9895252 0 0 -71533
8397009 8528422 615 825169 16 9893812 0 0 -71534
8395621 8519850 615 845298 16 9892372 0 0 -71534
8401844 8509229 615 865428 16 9890933 0 0 -71528
8413331 8501676 615 885555 16 9889493 0 0 -71534
8427115 8499994 615 905685 16 9888053 0 0 -71534
8437996 8503430 615 925814 16 9886613 0 0 -71534
8445356 8510933 615 945944 16 9885173 0 0 -71533
8447731 8519681 615 966073 16 9883733 0 0 -71533
8443917 8528912 615 986200 16 9882293 0 0 -71534
8433629 8534002 616 6330 16 9880853 0 0 -71534
8420199 8532861 616 26460 16 9879413 0 0 -71533
8407242 8525968 616 46589 16 9877973 0 0 -71533
