ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8405383 9980230 2898 344176 8 75008 0 0 184354
8405176 9979894 2898 364305 0 -1 0 0 -188306
8404132 9978213 2898 384434 0 -28 0 0 -188440
8402823 9976124 2898 404563 0 -104 0 0 -188818
8405950 9981259 2898 424692 0 -226 0 0 -189424
8405689 9980785 2898 444821 0 -395 0 0 -190264
8404480 9978868 2898 464951 0 -612 0 0 -191342
8407783 9984251 2898 485079 0 -876 0 0 -192653
8407520 9983787 2898 505212 0 -1187 0 0 -194198
8407960 9984514 2898 525338 0 -1545 0 0 -195977
8408080 9984736 2898 545467 0 -1951 0 0 -382347
8407978 9984575 2898 565596 0 -2403 0 0 -11933
8407762 9984172 2898 585726 0 -2903 0 0 -14283
8407007 9982974 2898 605855 0 -3450 0 0 -16623
8406129 9981605 2898 625984 0 -4044 0 0 -18967
8405139 9979899 2898 646113 0 -4685 0 0 -21312
8403382 9977054 2898 666242 0 -5374 0 0 -23657
8402791 9976121 2898 686369 4 -6109 0 0 -25998
8402742 9976029 2898 706498 4 -6892 0 0 -28343
8403442 9977151 2898 726630 4 -7722 0 0 -30687
8403617 9977442 2898 746757 0 -8599 0 0 -33027
8402769 9976063 2898 766885 0 -9523 0 0 -35372
8404744 9979281 2898 787015 4 -10485 0 0 -37667
8406826 9982679 2898 807142 4 -11459 0 0 -39789
8407883 9984413 2898 827271 0 -12446 0 0 -41741
8407933 9984511 2898 847400 0 -13444 0 0 -43515
8407305 9983473 2898 867529 4 -14454 0 0 -45110
8406355 9981895 2898 887659 4 -15475 0 0 -46530
8405038 9979735 2898 907788 0 -16509 0 0 -47777
8403131 9976652 2898 927917 0 -17554 0 0 -48846
8402581 9975777 2898 948046 0 -18611 0 0 -49739
8402700 9975927 2898 968175 0 -19680 0 0 -50459
8403095 9976590 2898 988305 0 -20761 0 0 -51051
8403801 9977723 2899 8432 0 -21853 0 0 -51637
8404329 9978614 2899 28561 0 -22957 0 0 -52218
8404716 9979232 2899 48690 4 -24073 0 0 -52804
8405501 9980520 2899 68820 4 -25201 0 0 -53390
8406402 9982005 2899 88949 0 -26341 0 0 -53982
8407203 9983301 2899 109078 0 -27492 0 0 -54563
8407825 9984277 2899 129207 0 -28656 0 0 -55154
8408032 9984596 2899 149336 0 -29830 0 0 -55735
8407514 9983749 2899 169465 0 -31017 0 0 -56322
8406312 9981784 2899 189594 0 -32216 0 0 -56908
8404726 9979227 2899 209722 0 -33426 0 0 -57494
8403450 9977146 2899 229851 0 -34648 0 0 -58080
8402653 9975836 2899 249980 0 -35882 0 0 -58667
8402831 9976120 2899 270109 0 -37128 0 0 -59253
8404009 9978049 2899 290238 0 -38386 0 0 -59839
8405613 9980685 2899 310371 0 -39655 0 0 -60425
8406969 9982880 2899 330500 0 -40936 0 0 -61006
8407901 9984446 2899 350629 0 -42229 0 0 -61597
8407762 9984159 2899 370758 0 -43534 0 0 -62183
8406580 9982239 2899 390887 0 -44850 0 0 -62765
8404788 9979314 2899 411017 0 -46179 0 0 -63354
8403384 9977023 2899 431143 0 -47519 0 0 -63942
8402643 9975850 2899 451274 0 -48870 0 0 -64523
8402982 9976343 2899 471403 0 -50234 0 0 -65109
8404201 9978340 2899 491529 0 -51609 0 0 -65691
8405860 9981030 2899 511661 0 -52997 0 0 -66282
8407288 9983372 2899 531787 0 -54396 0 0 -66869
8408024 9984605 2899 551917 0 -55807 0 0 -67455
8407718 9984079 2899 572045 0 -57229 0 0 -68037
8406434 9982016 2899 592173 16 -58664 0 0 -68629
8404574 9978964 2899 612303 16 -60103 0 0 -69175
8403179 9976714 2899 632431 16 -61543 0 0 -69671
8402596 9975757 2899 652560 16 -62983 0 0 -70114
8403090 9976564 2899 672691 16 -64423 0 0 -70491
8404491 9978812 2899 692819 16 -65863 0 0 -70813
8406274 9981739 2899 712948 16 -67303 0 0 -71073
8407495 9983736 2899 733076 16 -68743 0 0 -71276
8408035 9984597 2899 753206 16 -70183 0 0 -71420
8407730 9984086 2899 773335 16 -71623 0 0 -71509
8406579 9982252 2899 793464 16 -73063 0 0 -71533
8405005 9979655 2899 813592 16 -74502 0 0 -71534
8403677 9977510 2899 833724 16 -75942 0 0 -71533
8402734 9975994 2899 853851 16 -77382 0 0 -71533
8402660 9975853 2899 873980 16 -78822 0 0 -71534
8403376 9977014 2899 894108 16 -80262 0 0 -71534
8404781 9979288 2899 914237 16 -81702 0 0 -71534
8406207 9981579 2899 934369 16 -83142 0 0 -71533
8407374 9983515 2899 954496 16 -84581 0 0 -71529
8407989 9984544 2899 974625 16 -86022 0 0 -71534
8407876 9984375 2899 994754 16 -87462 0 0 -71534
8406918 9982795 2900 14882 16 -88902 0 0 -71539
8405556 9980587 2900 35012 16 -90341 0 0 -71534
8404173 9978339 2900 55141 16 -91781 0 0 -71534
8403005 9976438 2900 75270 16 -93221 0 0 -71534
8402573 9975772 2900 95398 16 -94661 0 0 -71534
8403016 9976470 2900 115527 16 -96101 0 0 -71534
8404031 9978072 2900 135660 16 -97541 0 0 -71533
8405458 9980370 2900 155788 16 -98981 0 0 -71538
8406738 9982470 2900 175917 16 -100421 0 0 -71533
8407683 9984020 2900 196047 16 -101861 0 0 -71533
8408035 9984620 2900 216175 16 -103301 0 0 -71533
8407672 9984005 2900 236304 16 -104740 0 0 -71533
8406682 9982370 2900 256433 16 -106180 0 0 -71533
8405338 9980209 2900 276562 16 -107620 0 0 -71533
8403914 9977901 2900 296689 16 -109060 0 0 -71533
8402897 9976253 2900 316820 16 -110500 0 0 -71533
8402576 9975712 2900 336946 16 -111940 0 0 -71535
8403023 9976460 2900 357079 16 -113380 0 0 -71533
8403973 9977983 2900 377205 16 -114819 0 0 -71529
8405176 9979919 2900 397334 16 -116260 0 0 -71535
8406629 9982280 2900 417462 16 -117699 0 0 -71530
8407708 9984040 2900 437591 16 -119139 0 0 -71535
8408035 9984606 2900 457719 16 -120579 0 0 -71535
8407865 9984361 2900 477850 16 -122019 0 0 -71534
8407146 9983153 2900 497979 16 -123459 0 0 -71534
8405979 9981295 2900 518106 16 -124899 0 0 -71535
8404711 9979238 2900 538238 16 -126339 0 0 -71533
8403473 9977210 2900 558367 16 -127778 0 0 -71530
8402684 9975925 2900 578496 16 -129218 0 0 -71534
8402631 9975820 2900 598623 16 -130658 0 0 -71529
8403233 9976803 2900 618754 16 -132098 0 0 -71533
8404253 9978426 2900 638883 16 -133538 0 0 -71533
8405545 9980527 2900 659012 16 -134978 0 0 -71533
8406896 9982704 2900 679138 16 -136418 0 0 -71534
8407723 9984091 2900 699270 16 -137858 0 0 -71534
8408014 9984565 2900 719399 16 -139298 0 0 -71533
8407736 9984152 2900 739526 16 -140738 0 0 -71534
8406747 9982561 2900 759655 16 -142177 0 0 -71534
8405234 9980097 2900 779783 16 -143617 0 0 -71534
8404048 9978149 2900 799915 16 -145058 0 0 -71538
8402999 9976447 2900 820042 16 -146497 0 0 -71534
8402554 9975736 2900 840171 16 -147937 0 0 -71534
8402758 9976040 2900 860300 16 -149377 0 0 -71534
8403730 9977601 2900 880431 16 -150817 0 0 -71533
8404859 9979394 2900 900560 16 -152257 0 0 -71534
8406453 9981980 2900 920687 16 -153697 0 0 -71534
8407443 9983593 2900 940818 16 -155137 0 0 -71533
8407974 9984482 2900 960947 16 -156576 0 0 -71533
8407929 9984441 2900 981077 16 -158016 0 0 -71532
8407201 9983254 2901 1205 16 -159456 0 0 -71528
8406055 9981454 2901 21336 16 -160896 0 0 -71532
8404844 9979475 2901 41464 16 -162336 0 0 -71533
8403588 9977463 2901 61593 16 -163776 0 0 -71533
8402739 9976080 2901 81721 16 -165216 0 0 -71533
8402601 9975829 2901 101850 16 -166656 0 0 -71533
8403294 9976927 2901 121979 16 -168096 0 0 -71533
8404245 9978434 2901 142106 16 -169535 0 0 -71529
8405597 9980609 2901 162237 16 -170975 0 0 -71534
8406857 9982668 2901 182363 16 -172415 0 0 -71535
8407718 9984068 2901 202494 16 -173855 0 0 -71534
8407971 9984489 2901 222623 16 -175295 0 0 -71535
8407557 9983882 2901 242751 16 -176735 0 0 -71535
8406502 9982148 2901 262880 16 -178175 0 0 -71535
8405269 9980186 2901 283012 16 -179615 0 0 -71533
8403954 9978041 2901 303138 16 -181054 0 0 -71529
8402844 9976261 2901 323267 16 -182494 0 0 -71529
8402543 9975784 2901 343395 16 -183934 0 0 -71534
8402928 9976341 2901 363526 16 -185374 0 0 -71534
8403872 9977846 2901 383655 16 -186814 0 0 -71533
8405115 9979850 2901 403784 16 -188254 0 0 -71534
8406557 9982179 2901 423913 16 -189694 0 0 -71534
8407518 9983754 2901 444042 16 -191134 0 0 -71533
8407969 9984505 2901 464171 16 -192574 0 0 -71534
8407710 9984111 2901 484300 16 -194014 0 0 -71535
8406832 9982723 2901 504430 16 -195453 0 0 -71533
8405569 9980687 2901 524558 16 -196893 0 0 -71533
8404207 9978473 2901 544687 16 -198333 0 0 -71533
8403153 9976759 2901 564816 16 -199773 0 0 -71534
8402570 9975767 2901 584945 16 -201213 0 0 -71534
8402699 9975997 2901 605074 16 -202653 0 0 -71533
8403603 9977440 2901 625203 16 -204093 0 0 -71533
8404920 9979521 2901 645332 16 -205533 0 0 -71534
8406338 9981801 2901 665459 16 -206973 0 0 -71534
8407372 9983509 2901 685590 16 -208412 0 0 -71528
8407931 9984439 2901 705719 16 -209852 0 0 -71534
8407727 9984193 2901 725848 16 -211292 0 0 -71534
8406890 9982840 2901 745978 16 -212732 0 0 -71533
8405648 9980812 2901 766108 16 -214172 0 0 -71533
8404473 9978908 2901 786237 16 -215612 0 0 -71533
8403183 9976833 2901 806365 16 -217052 0 0 -71533
8402639 9975949 2901 826494 16 -218492 0 0 -71533
8402624 9975880 2901 846626 16 -219932 0 0 -71532
8403300 9976912 2901 866753 16 -221371 0 0 -71527
8404294 9978523 2901 886882 16 -222811 0 0 -71533
8405815 9980957 2901 907013 16 -224251 0 0 -71532
8406939 9982814 2901 927138 16 -225691 0 0 -71533
8407746 9984149 2901 947269 16 -227131 0 0 -71533
8407902 9984458 2901 967397 16 -228571 0 0 -71534
8407341 9983558 2901 987525 16 -230011 0 0 -71534
8406387 9982052 2902 7654 16 -231451 0 0 -71534
8405240 9980169 2902 27782 16 -232891 0 0 -71534
8403625 9977595 2902 47913 16 -234330 0 0 -71529
8402758 9976181 2902 68041 16 -235770 0 0 -71534
8402556 9975790 2902 88169 16 -237210 0 0 -71535
8403023 9976520 2902 108298 16 -238650 0 0 -71535
8403945 9977996 2902 128426 16 -240090 0 0 -71534
8405485 9980434 2902 148557 16 -241530 0 0 -71534
8406734 9982459 2902 168686 16 -242970 0 0 -71534
8407535 9983802 2902 188814 16 -244410 0 0 -71534
8407895 9984440 2902 208943 16 -245850 0 0 -71534
8407537 9983892 2902 229073 16 -247290 0 0 -71533
8406546 9982311 2902 249202 16 -248729 0 0 -71534
8405369 9980440 2902 269330 16 -250169 0 0 -71534
8404152 9978460 2902 289459 16 -251609 0 0 -71534
8402999 9976586 2902 309589 16 -253049 0 0 -71533
8402553 9975831 2902 329718 16 -254489 0 0 -71533
8402863 9976275 2902 349846 16 -255929 0 0 -71534
8403618 9977442 2902 369975 16 -257369 0 0 -71534
8404731 9979241 2902 390105 16 -258809 0 0 -71533
8406158 9981545 2902 410234 16 -260249 0 0 -71533
8407500 9983759 2902 430362 16 -261689 0 0 -71534
8407878 9984391 2902 450491 16 -263129 0 0 -71539
8407664 9984066 2902 470621 16 -264568 0 0 -71533
8406647 9982506 2902 490750 16 -266008 0 0 -71533
8405214 9980223 2902 510878 16 -267448 0 0 -71534
8404196 9978541 2902 531009 16 -268888 0 0 -71533
8403017 9976636 2902 551140 16 -270328 0 0 -71533
8402537 9975808 2902 571269 16 -271768 0 0 -71533
8402759 9976157 2902 591396 16 -273208 0 0 -71533
8403668 9977541 2902 611527 16 -274647 0 0 -71528
8404728 9979270 2902 631656 16 -276087 0 0 -71528
8406347 9981862 2902 651783 16 -277527 0 0 -71528
8407371 9983523 2902 671914 16 -278967 0 0 -71533
8407831 9984332 2902 692043 16 -280407 0 0 -71533
8407632 9984037 2902 712170 16 -281847 0 0 -71533
8406778 9982717 2902 732299 16 -283287 0 0 -71534
8405657 9980914 2902 752430 16 -284727 0 0 -71533
8404553 9979137 2902 772556 16 -286167 0 0 -71534
8403305 9977092 2902 792687 16 -287607 0 0 -71533
8402671 9976084 2902 812813 16 -289046 0 0 -71535
8402611 9975926 2902 832943 16 -290486 0 0 -71534
8403149 9976752 2902 853071 16 -291926 0 0 -71534
8404220 9978462 2902 873199 16 -293366 0 0 -71535
8405836 9981069 2902 893330 16 -294806 0 0 -71534
8407157 9983198 2902 913459 16 -296246 0 0 -71534
8407763 9984222 2902 933587 16 -297686 0 0 -71534
8407721 9984201 2902 953716 16 -299126 0 0 -71535
8406985 9983038 2902 973846 16 -300565 0 0 -71529
8405579 9980839 2902 993975 16 -302005 0 0 -71529
8404115 9978509 2903 14103 16 -303445 0 0 -71534
8403088 9976802 2903 34235 16 -304885 0 0 -71533
8402561 9975911 2903 54362 16 -306325 0 0 -71533
8402657 9976002 2903 74490 16 -307765 0 0 -71533
8403554 9977398 2903 94619 16 -309205 0 0 -71534
8404860 9979478 2903 114751 16 -310645 0 0 -71533
8406283 9981777 2903 134878 16 -312085 0 0 -71533
8407365 9983545 2903 155009 16 -313525 0 0 -71533
8407765 9984251 2903 175136 16 -314965 0 0 -71539
8407418 9983762 2903 195265 16 -316404 0 0 -71534
8406273 9981955 2903 215394 16 -317845 0 0 -71538
8404785 9979571 2903 235522 16 -319284 0 0 -71534
8403637 9977702 2903 255650 16 -320724 0 0 -71534
8402947 9976609 2903 275781 16 -322164 0 0 -71533
8402529 9975849 2903 295910 16 -323604 0 0 -71533
8402969 9976495 2903 316041 16 -325044 0 0 -71534
8403974 9978056 2903 336168 16 -326484 0 0 -71534
8405121 9979910 2903 356297 16 -327924 0 0 -71534
8406451 9982051 2903 376428 16 -329363 0 0 -71528
8407485 9983751 2903 396557 16 -330803 0 0 -71533
8407695 9984161 2903 416686 16 -332243 0 0 -71528
8407086 9983239 2903 436816 16 -333683 0 0 -71532
8406136 9981762 2903 456944 16 -335123 0 0 -71532
8404723 9979476 2903 477073 16 -336563 0 0 -71533
8403521 9977533 2903 497202 16 -338003 0 0 -71533
8402696 9976152 2903 517332 16 -339443 0 0 -71533
8402529 9975819 2903 537460 16 -340882 0 0 -71528
8403003 9976543 2903 557589 16 -342322 0 0 -71528
8404194 9978417 2903 577718 16 -343762 0 0 -71534
8405451 9980424 2903 597848 16 -345202 0 0 -71533
8406817 9982623 2903 617974 16 -346642 0 0 -71534
8407659 9984066 2903 638102 16 -348082 0 0 -71535
8407617 9984042 2903 658232 16 -349522 0 0 -71534
8406761 9982728 2903 678361 16 -350962 0 0 -71534
8405550 9980824 2903 698489 16 -352402 0 0 -71534
8404358 9978897 2903 718618 16 -353841 0 0 -71530
8403276 9977153 2903 738749 16 -355281 0 0 -71534
8402648 9976111 2903 758878 16 -356721 0 0 -71534
8402603 9975949 2903 779007 16 -358161 0 0 -71534
8403306 9977055 2903 799133 16 -359601 0 0 -71535
8404537 9978972 2903 819265 16 -361041 0 0 -71534
8405943 9981214 2903 839394 16 -362481 0 0 -71533
8407047 9983028 2903 859521 16 -363921 0 0 -71534
8407691 9984109 2903 879652 16 -365361 0 0 -71533
8407591 9984016 2903 899781 16 -366800 0 0 -71528
8406814 9982834 2903 919908 16 -368241 0 0 -71539
8405551 9980826 2903 940039 16 -369680 0 0 -71534
8404219 9978687 2903 960168 16 -371120 0 0 -71534
8403061 9976809 2903 980297 16 -372560 0 0 -71534
8402541 9975909 2904 424 16 -374000 0 0 -71533
8402689 9976090 2904 20555 16 -375440 0 0 -71534
8403452 9977249 2904 40684 16 -376880 0 0 -71534
8404716 9979228 2904 60811 16 -378320 0 0 -71534
8406154 9981557 2904 80940 16 -379760 0 0 -71534
8407306 9983467 2904 101071 16 -381200 0 0 -71539
8407709 9984183 2904 121198 16 -382639 0 0 -71529
8407500 9983901 2904 141327 16 -384079 0 0 -71534
8406558 9982410 2904 161455 16 -385519 0 0 -71534
8405132 9980174 2904 181589 16 -386959 0 0 -71533
8403698 9977872 2904 201717 16 -388399 0 0 -71533
8402792 9976402 2904 221845 16 -389839 0 0 -71533
8402525 9975865 2904 241976 16 -391279 0 0 -71533
8402946 9976479 2904 262104 16 -392719 0 0 -71533
8404065 9978247 2904 282232 16 -394159 0 0 -71533
8405622 9980685 2904 302363 16 -395598 0 0 -71528
8406799 9982637 2904 322491 16 -397038 0 0 -71533
8407553 9983947 2904 342619 16 -398478 0 0 -71533
8407661 9984168 2904 362748 16 -399918 0 0 -71533
8406998 9983192 2904 382877 16 -401358 0 0 -71534
8405761 9981230 2904 403009 16 -402798 0 0 -71533
8404351 9978976 2904 423133 16 -404238 0 0 -71534
8403143 9976984 2904 443261 16 -405678 0 0 -71535
8402548 9975955 2904 463392 16 -407117 0 0 -71529
8402629 9976003 2904 483521 16 -408557 0 0 -71529
8403327 9977074 2904 503649 16 -409997 0 0 -71535
8404679 9979214 2904 523780 16 -411437 0 0 -71534
8405912 9981161 2904 543908 16 -412877 0 0 -71534
8407320 9983509 2904 564036 16 -414317 0 0 -71534
8407714 9984238 2904 584166 16 -415757 0 0 -71534
8407220 9983539 2904 604295 16 -417197 0 0 -71535
8406638 9982643 2904 624424 16 -418637 0 0 -71534
8405436 9980689 2904 644553 16 -420076 0 0 -71528
8404108 9978598 2904 664682 16 -421516 0 0 -71534
8402965 9976715 2904 684811 16 -422956 0 0 -71534
8402531 9975937 2904 704940 16 -424396 0 0 -71534
8402802 9976334 2904 725069 16 -425836 0 0 -71534
8404167 9978392 2904 745198 16 -427276 0 0 -71534
8404402 9978760 2904 765327 16 -428716 0 0 -71534
8406543 9982222 2904 785456 16 -430156 0 0 -71534
8406839 9982715 2904 805585 16 -431596 0 0 -71534
8407717 9984271 2904 825714 16 -433036 0 0 -71534
8407505 9984004 2904 845844 16 -434476 0 0 -71538
8405612 9980999 2904 865972 16 -435916 0 0 -71539
8405479 9980779 2904 886101 16 -437355 0 0 -71534
8403541 9977685 2904 906230 16 -438795 0 0 -71533
