ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8514521 8404111 3364 317743 0 327680 0 0 -312506
8515507 8399526 3364 337872 0 73162385 0 0 361839659
8514023 8405733 3364 358002 0 73160102 0 0 361828318
8512176 8416305 3364 378130 0 73157661 0 0 361816190
8511605 8424388 3364 398259 0 73155233 0 0 361804129
8513060 8422897 3364 418392 0 73152817 0 0 361792128
8514971 8412660 3364 438518 0 73150412 0 0 361780179
8515076 8402659 3364 458648 0 73148019 0 0 361768291
8513612 8399296 3364 478779 0 73145638 0 0 361756463
8511701 8404969 3364 498905 0 73143268 0 0 361744688
8511486 8416263 3364 519037 0 73140910 0 0 361732975
8513090 8424377 3364 539164 0 73138565 0 0 -118335
8515027 8424217 3364 559292 0 73136230 0 0 -118595
8515785 8416842 3364 579422 0 73133908 0 0 -118002
8514331 8405666 3364 599549 0 73131598 0 0 -117418
8511840 8399482 3364 619679 0 73129299 0 0 -116838
8510665 8402584 3364 639809 0 73127013 0 0 -116245
8511548 8411856 3364 659936 0 73124737 0 0 -115665
8513929 8421621 3364 680065 0 73122474 0 0 -115079
8515675 8424883 3364 700194 0 73120223 0 0 -114488
8515075 8418512 3364 720323 0 73117983 0 0 -113903
8513250 8408869 3364 740453 0 73115755 0 0 -113320
8511555 8401126 3364 760581 0 73113539 0 0 -112729
8511251 8399837 3364 780710 0 73111335 0 0 -112143
8512832 8407052 3364 800838 0 73109142 0 0 -111561
8514639 8416929 3364 820967 0 73106961 0 0 -110975
8515326 8423917 3364 841096 0 73104793 0 0 -110390
8514483 8424856 3364 861226 0 73102635 0 0 -109802
8512634 8418395 3364 881354 0 73100490 0 0 -109216
8511219 8408121 3364 901484 0 73098357 0 0 -108629
8511557 8400700 3364 921613 0 73096235 0 0 -108043
8513147 8399649 3364 941741 0 73094125 0 0 -107458
8514892 8405633 3364 961870 0 73092027 0 0 -106871
8515441 8416073 3364 982002 0 73089940 0 0 -106288
8513961 8423999 3365 2130 0 73087865 0 0 -105702
8512029 8425364 3365 22257 0 73085803 0 0 -105112
8510804 8420153 3365 42386 0 73083752 0 0 -104531
8510887 8411350 3365 62516 0 73081713 0 0 -103940
8512551 8402529 3365 82646 0 73079685 0 0 -103357
8514648 8399269 3365 102773 0 73077669 0 0 -102778
8515803 8403255 3365 122903 0 73075665 0 0 -102191
8515027 8412244 3365 143035 0 73073673 0 0 -101603
8512991 8421449 3365 163161 0 73071693 0 0 -101018
8511262 8425619 3365 183289 0 73069725 0 0 -100429
8510753 8423329 3365 203418 0 73067768 0 0 -99842
8511733 8415341 3365 223551 0 73065823 0 0 -99258
8513419 8406850 3365 243678 0 73063890 0 0 -98673
8515112 8399918 3365 263809 0 73061969 0 0 -98086
8515286 8399995 3365 283938 0 73060059 0 0 -97501
8514083 8406312 3365 304067 0 73058161 0 0 -96913
8512253 8415532 3365 324196 0 73056275 0 0 -96327
8511105 8423736 3365 344323 0 73054402 0 0 -95738
8511495 8425627 3365 364454 0 73052539 0 0 -95155
8512952 8421843 3365 384583 0 73050689 0 0 -94568
8514765 8413652 3365 404710 0 73048850 0 0 -93983
8515572 8405313 3365 424841 0 73047023 0 0 -93398
8515106 8399622 3365 444970 0 73045208 0 0 -92811
8513294 8400425 3365 465096 0 73043404 0 0 -92231
8511268 8407605 3365 485224 0 73041613 0 0 -91640
8510555 8416003 3365 505354 0 73039833 0 0 -91054
8511340 8423460 3365 525483 0 73038065 0 0 -90468
8513187 8425707 3365 545611 0 73036309 0 0 -89886
8515017 8421564 3365 565740 0 73034564 0 0 -89300
8515816 8414497 3365 585870 0 73032832 0 0 -88714
8515052 8405813 3365 605998 0 73031111 0 0 -88127
8513537 8400058 3365 626127 0 73029402 0 0 -87542
8511905 8399056 3365 646257 0 73027705 0 0 -86955
8510835 8402701 3365 666387 0 73026019 0 0 -86368
8511021 8410104 3365 686514 0 73024346 0 0 -85782
8512375 8419038 3365 706644 0 73022684 0 0 -85196
8514046 8424759 3365 726774 0 73021034 0 0 -84609
8515331 8425603 3365 746901 0 73019395 0 0 -84028
8515521 8421932 3365 767033 0 73017769 0 0 -83436
8514400 8413573 3365 787160 0 73016154 0 0 -82856
8512819 8405568 3365 807290 0 73014551 0 0 -82269
8511359 8400051 3365 827417 0 73012960 0 0 -81683
8510749 8398657 3365 847547 0 73011381 0 0 -81097
8511208 8401349 3365 867678 0 73009813 0 0 -80511
8512675 8408471 3365 887804 0 73008257 0 0 -79929
8514447 8416867 3365 907934 0 73006713 0 0 -79343
8515726 8423830 3365 928063 0 73005181 0 0 -78757
8515733 8426118 3365 948194 0 73003661 0 0 -78165
8515080 8424832 3365 968320 0 73002152 0 0 -77586
8513806 8420477 3365 988450 0 73000655 0 0 -76998
8512139 8412664 3366 8581 0 72999171 0 0 -76407
8510931 8404154 3366 28707 0 72997697 0 0 -75826
8510901 8399682 3366 48839 0 72996236 0 0 -75239
8511798 8398688 3366 68969 0 72994786 0 0 -74653
8513082 8401108 3366 89097 0 72993348 0 0 -74067
8514620 8407107 3366 109226 0 72991922 0 0 -73481
8515673 8414971 3366 129355 0 72990508 0 0 -72894
8515578 8421064 3366 149485 0 72989106 0 0 -72308
8514889 8425285 3366 169613 0 72987715 0 0 -71721
8513773 8426217 3366 189743 0 72986336 0 0 -71135
8512326 8423815 3366 209871 0 72984969 0 0 -70555
8511189 8418243 3366 230001 0 72983614 0 0 -69962
8510892 8412129 3366 250127 0 72982270 0 0 -69383
8511208 8405491 3366 270259 0 72980939 0 0 -68791
8512468 8400508 3366 290384 0 72979619 0 0 -68206
8513687 8398718 3366 310514 0 72978311 0 0 -67619
8515130 8400206 3366 330643 0 72977015 0 0 -67033
8515771 8404292 3366 350771 0 72975730 0 0 -66453
8515782 8409788 3366 370900 0 72974457 0 0 -65866
8515039 8416338 3366 391032 0 72973196 0 0 -65279
8513933 8421740 3366 411159 0 72971947 0 0 -64693
8512504 8425436 3366 431287 0 72970710 0 0 -64108
8511549 8426236 3366 451417 0 72969484 0 0 -63520
8510924 8424840 3366 471547 0 72968271 0 0 -62935
8510753 8420880 3366 491674 0 72967069 0 0 -62348
8511502 8414354 3366 511804 0 72965878 0 0 -61767
