ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8476502 8439245 470 478409 8 100176 0 0 217015151
8474754 8441390 470 498538 0 -59999999 0 0 -81559915
8468893 8448461 470 518667 0 -59999971 0 0 -81559775
8465281 8452879 470 538796 0 -59999896 0 0 -81559403
8466230 8450955 470 558925 0 -59999773 0 0 -81558792
8466408 8450231 470 579054 0 -59999604 0 0 -81557952
8464212 8453669 470 599183 0 -59999387 0 0 -81556874
8465346 8454587 470 619314 0 -59999122 0 0 -81555558
8468640 8452356 470 639444 0 -59998811 0 0 -81554013
8480450 8442235 470 659572 0 -59998453 0 0 -81552234
8497034 8423444 470 679700 0 -59998047 0 0 -298565368
8506635 8406505 470 699829 0 -59997594 0 0 11948
8507234 8397445 470 719958 0 -59997094 0 0 14293
8503522 8394676 470 740088 0 -59996547 0 0 16638
8498909 8397296 470 760217 0 -59995953 0 0 18977
8494974 8397487 470 780345 0 -59995311 0 0 21327
8492671 8398137 470 800475 4 -59994623 0 0 23667
8492267 8398527 470 820604 4 -59993887 0 0 26007
8491602 8398753 470 840733 4 -59993104 0 0 28352
8491983 8398409 470 860859 4 -59992274 0 0 30698
8493805 8397310 470 880988 4 -59991396 0 0 33042
8495932 8396374 470 901116 4 -59990472 0 0 35382
8497342 8395754 470 921245 0 -59989510 0 0 37678
8498055 8395414 470 941375 0 -59988536 0 0 39799
8499257 8394933 470 961504 0 -59987549 0 0 41751
8501057 8394609 470 981633 0 -59986551 0 0 43520
8501822 8394530 471 1762 0 -59985541 0 0 45119
8501774 8394474 471 21891 0 -59984520 0 0 46535
8501394 8394484 471 42022 0 -59983486 0 0 47782
8502230 8394497 471 62148 0 -59982441 0 0 48850
8503705 8394708 471 82278 0 -59981384 0 0 49739
8504698 8394910 471 102407 0 -59980315 0 0 50459
8505165 8395066 471 122536 4 -59979234 0 0 51050
8505044 8397464 471 142665 4 -59978142 0 0 51637
8493524 8428571 471 162794 4 -59977037 0 0 52223
8485690 8434720 471 182923 0 -59975921 0 0 52809
8487542 8427152 471 203052 0 -59974793 0 0 53396
8488576 8424708 471 223181 0 -59973654 0 0 53982
8470637 8404836 471 243311 4 -59972502 0 0 54569
8469069 8401839 471 263440 4 -59971339 0 0 55154
8486628 8421999 471 283568 0 -59970164 0 0 55740
8504636 8448316 471 303697 0 -59968977 0 0 56327
8492220 8445744 471 323827 0 -59967778 0 0 56913
8468673 8415007 471 343956 0 -59966568 0 0 57499
8476171 8399008 471 364084 0 -59965345 0 0 58085
8501682 8421805 471 384213 0 -59964111 0 0 58672
8497732 8449133 471 404342 0 -59962866 0 0 59253
8472491 8445214 471 424474 0 -59961608 0 0 59843
8467974 8418075 471 444603 0 -59960339 0 0 60424
8491288 8398462 471 464732 0 -59959058 0 0 61011
8506460 8411031 471 484861 0 -59957765 0 0 61597
8491999 8439728 471 504990 0 -59956460 0 0 62183
8470017 8450235 471 525119 0 -59955143 0 0 62770
8470224 8433410 471 545248 0 -59953815 0 0 63356
8492307 8406374 471 565377 0 -59952475 0 0 63937
8504818 8397535 471 585507 0 -59951123 0 0 64523
8495384 8413492 471 605633 0 -59949759 0 0 65115
8475873 8439331 471 625765 0 -59948384 0 0 65696
8468996 8452923 471 645893 0 -59946997 0 0 66282
8483380 8441640 471 666022 0 -59945597 0 0 66874
8499890 8418554 471 686149 0 -59944186 0 0 67461
8504322 8400407 471 706277 0 -59942764 0 0 68042
8493592 8398062 471 726406 0 -59941330 0 0 68623
8475275 8414986 471 746536 0 -59939883 0 0 69214
8467425 8438868 471 766665 0 -59938425 0 0 69800
8477441 8452316 471 786794 0 -59936955 0 0 70387
8494394 8448218 471 806923 0 -59935474 0 0 70967
8504861 8432221 471 827051 0 -59933980 0 0 71560
8502561 8411882 471 847181 0 -59932475 0 0 72145
8488490 8397500 471 867310 0 -59930958 0 0 72727
8472690 8399282 471 887439 0 -59929429 0 0 73312
8466735 8415452 471 907568 0 -59927889 0 0 73898
8473885 8436196 471 927697 0 -59926336 0 0 74489
8488837 8452071 471 947824 0 -59924772 0 0 75072
8501897 8454937 471 967953 0 -59923196 0 0 75658
8503199 8441963 471 988084 0 -59921608 0 0 76243
8492990 8421576 472 8213 0 -59920009 0 0 76829
8478045 8402658 472 28343 0 -59918397 0 0 77415
8468787 8395808 472 48469 0 -59916774 0 0 78003
8470704 8403201 472 68599 0 -59915139 0 0 78589
8482202 8420958 472 88728 0 -59913493 0 0 79170
8496104 8439858 472 108857 0 -59911834 0 0 79761
8503216 8451116 472 128985 0 -59910163 0 0 80348
8500629 8451212 472 149114 0 -59908481 0 0 80933
8490565 8441737 472 169243 0 -59906787 0 0 81519
