ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
10083802 8404278 420 423188 8 100176 0 0 95539
10083476 8404022 420 443317 0 -60366067 0 0 -300393676
10082340 8403286 420 463446 0 -60366039 0 0 -300393537
10081951 8403046 420 483574 0 -60365964 0 0 -300393164
10082747 8403552 420 503703 0 -60365841 0 0 -300392553
10082959 8403708 420 523832 0 -60365671 0 0 -300391708
10082724 8403544 420 543961 0 -60365454 0 0 -300390630
10081045 8402513 420 564090 0 -60365190 0 0 -300389319
10079905 8401841 420 584219 0 -60364879 0 0 -300387774
10079279 8401533 420 604348 0 -60364520 0 0 -300385990
10079251 8401600 420 624477 0 -60364114 0 0 -300383973
10079513 8401833 420 644607 0 -60363661 0 0 11953
10079770 8402036 420 664736 0 -60363161 0 0 14298
10080118 8402302 420 684865 0 -60362614 0 0 16643
10080592 8402723 420 704993 0 -60362020 0 0 18983
10080972 8402884 420 725122 0 -60361378 0 0 21327
10081399 8403155 420 745250 4 -60360689 0 0 23672
10081661 8403326 420 765382 4 -60359953 0 0 26017
10082294 8403720 420 785508 4 -60359170 0 0 28362
10082770 8404018 420 805637 4 -60358340 0 0 30702
10082802 8404028 420 825767 4 -60357463 0 0 33042
10082806 8404049 420 845896 4 -60356538 0 0 35387
10083061 8404201 420 866026 4 -60355576 0 0 37682
10083272 8404330 420 886155 4 -60354602 0 0 39803
10083203 8404299 420 906287 4 -60353615 0 0 41755
10083209 8404274 420 926416 4 -60352617 0 0 43523
10083126 8404253 420 946545 0 -60351607 0 0 45118
10083245 8404306 420 966673 0 -60350585 0 0 46539
10083394 8404402 420 986803 0 -60349552 0 0 47781
10083421 8404418 421 6932 0 -60348506 0 0 48854
10083385 8404410 421 27061 0 -60347449 0 0 49748
10083415 8404442 421 47190 0 -60346380 0 0 50464
10083548 8404519 421 67318 4 -60345300 0 0 51050
10081032 8402798 421 87445 4 -60344207 0 0 51642
10083314 8403981 421 107574 4 -60343103 0 0 52224
10083936 8404412 421 127705 0 -60341987 0 0 52810
10082888 8403969 421 147832 0 -60340859 0 0 53396
10082187 8403535 421 167961 0 -60339719 0 0 53982
10081653 8403210 421 188089 0 -60338568 0 0 54569
10081810 8403323 421 208218 0 -60337404 0 0 55155
10079643 8402064 421 228347 0 -60336229 0 0 55741
10079313 8401823 421 248476 0 -60335043 0 0 56323
