ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8513636 8394240 109 656407 4 151552 0 0 312504
8512810 8392683 109 676535 4 71723660 0 0 355567132
8513332 8395087 109 696669 4 71724294 0 0 355570281
8513408 8395872 109 716796 0 71724910 0 0 355573341
8513370 8396179 109 736926 0 71725461 0 0 355576079
8513371 8396351 109 757054 0 71725946 0 0 355578488
8513472 8396635 109 777184 0 71726365 0 0 355580570
8513468 8396584 109 797312 0 71726717 0 0 355582319
8513505 8396811 109 817440 0 71727004 0 0 355583744
8513545 8396111 109 837571 0 71727224 0 0 355584837
8513458 8395169 109 857699 0 71727379 0 0 355585607
8513459 8394444 109 877827 0 71727467 0 0 18913
8513510 8394110 109 897957 0 71727490 0 0 15878
8513497 8394070 109 918087 0 71727459 0 0 12663
8513829 8394414 109 938215 0 71727381 0 0 9539
8514334 8396287 109 958343 0 71727255 0 0 6503
8514710 8399649 109 978471 0 71727083 0 0 3567
8514575 8402169 109 998601 0 71726863 0 0 725
8514166 8402678 110 18729 0 71726596 0 0 -2027
8513616 8400366 110 38857 0 71726282 0 0 -4680
8513491 8396864 110 58988 0 71725920 0 0 -7248
8513981 8394538 110 79115 0 71725512 0 0 -9713
8514462 8395565 110 99246 0 71725056 0 0 -12092
8514187 8400602 110 119374 0 71724553 0 0 -14437
8513436 8402438 110 139502 0 71724003 0 0 -16782
8514011 8404258 110 159632 0 71723406 0 0 -19122
8513632 8403140 110 179760 0 71722762 0 0 -21467
8513650 8402935 110 199891 4 71722070 0 0 -23811
8513879 8402812 110 220020 4 71721331 0 0 -26156
8513962 8402578 110 240148 4 71720545 0 0 -28501
8514147 8402194 110 260278 4 71719712 0 0 -30841
8514165 8401558 110 280406 4 71718832 0 0 -33186
8514302 8401202 110 300534 4 71717905 0 0 -35526
8514384 8400925 110 320664 4 71716942 0 0 -37811
8514464 8400497 110 340792 4 71715967 0 0 -39923
8514542 8399924 110 360923 4 71714979 0 0 -41865
8514523 8399556 110 381050 4 71713980 0 0 -43629
8514474 8399952 110 401181 4 71712970 0 0 -45208
8514342 8400472 110 421309 4 71711947 0 0 -46620
8514387 8400436 110 441437 0 71710913 0 0 -47852
8514268 8399991 110 461567 0 71709867 0 0 -48910
8514343 8399511 110 481696 0 71708809 0 0 -49794
8514403 8399163 110 501829 0 71707739 0 0 -50503
8514453 8398907 110 521957 0 71706658 0 0 -51090
8514520 8398698 110 542086 4 71705565 0 0 -51676
8514523 8398598 110 562214 4 71704460 0 0 -52258
8514519 8398862 110 582346 4 71703343 0 0 -52843
